Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Density (g/cc)
145,883,A,1,H,1,2.3,0.023,1.304
145,883,A,1,H,1,5,0.05,1.354
145,883,A,1,H,1,5.3,0.053,1.363
145,883,A,1,H,1,7.5,0.075,1.307
145,883,A,1,H,1,10,0.1,1.364
145,883,A,1,H,1,10.1,0.101,1.353
145,883,A,1,H,1,12.4,0.124,1.341
145,883,A,1,H,1,15,0.15,1.352
145,883,A,1,H,1,16.7,0.167,1.362
145,883,A,1,H,1,19.2,0.192,1.285
145,883,A,1,H,1,20,0.2,1.377
145,883,A,1,H,1,21.6,0.216,1.317
145,883,A,1,H,1,23.8,0.238,1.434
145,883,A,1,H,1,25,0.25,1.333
145,883,A,1,H,1,26.2,0.262,1.316
145,883,A,1,H,1,28.7,0.287,1.38
145,883,A,1,H,1,30,0.3,1.351
145,883,A,1,H,1,31,0.31,1.379
145,883,A,1,H,1,33.2,0.332,1.381
145,883,A,1,H,1,35,0.35,1.317
145,883,A,1,H,1,35.6,0.356,1.389
145,883,A,1,H,1,38.1,0.381,1.395
145,883,A,1,H,1,40,0.4,1.452
145,883,A,1,H,1,40.4,0.404,1.431
145,883,A,1,H,1,42.5,0.425,1.347
145,883,A,1,H,1,45,0.45,1.341
145,883,A,1,H,1,47.3,0.473,1.38
145,883,A,1,H,1,50,0.5,1.349
145,883,A,1,H,1,51.9,0.519,1.346
145,883,A,1,H,1,54.4,0.544,1.335
145,883,A,1,H,1,55,0.55,1.382
145,883,A,1,H,1,56.8,0.568,1.416
145,883,A,1,H,1,59,0.59,1.385
145,883,A,1,H,1,60,0.6,1.341
145,883,A,1,H,1,61.3,0.613,1.417
145,883,A,1,H,1,63.8,0.638,1.326
145,883,A,1,H,1,65,0.65,1.35
145,883,A,1,H,1,66.2,0.662,1.392
145,883,A,1,H,1,68.4,0.684,1.363
145,883,A,1,H,1,70,0.7,1.323
145,883,A,1,H,1,70.9,0.709,1.34
145,883,A,1,H,1,73.1,0.731,1.326
145,883,A,1,H,1,75,0.75,1.378
145,883,A,1,H,1,75.5,0.755,1.348
145,883,A,1,H,1,77.9,0.779,1.349
145,883,A,1,H,1,80,0.8,1.394
145,883,A,1,H,1,80.1,0.801,1.381
145,883,A,1,H,1,82.3,0.823,1.377
145,883,A,1,H,1,85,0.85,1.44
145,883,A,1,H,1,87.1,0.871,1.431
145,883,A,1,H,1,89.3,0.893,1.411
145,883,A,1,H,1,90,0.9,1.425
145,883,A,1,H,1,91.6,0.916,1.478
145,883,A,1,H,1,94.1,0.941,1.508
145,883,A,1,H,1,95,0.95,1.44
145,883,A,1,H,1,96.4,0.964,1.411
145,883,A,1,H,1,98.6,0.986,1.508
145,883,A,1,H,1,100,1,1.468
145,883,A,1,H,1,101.1,1.011,1.417
145,883,A,1,H,1,103.5,1.035,1.431
145,883,A,1,H,1,104.9,1.049,1.427
145,883,A,1,H,1,105.6,1.056,1.422
145,883,A,1,H,1,107.9,1.079,1.419
145,883,A,1,H,1,110.3,1.103,1.469
145,883,A,1,H,1,112.6,1.126,1.415
145,883,A,1,H,1,115,1.15,1.445
145,883,A,1,H,1,117.3,1.173,1.536
145,883,A,1,H,1,119.5,1.195,1.472
145,883,A,1,H,1,122.1,1.221,1.388
145,883,A,1,H,1,124.4,1.244,1.467
145,883,A,1,H,1,126.7,1.267,1.5
145,883,A,1,H,1,128.9,1.289,1.443
145,883,A,1,H,1,131.3,1.313,1.471
145,883,A,1,H,1,133.7,1.337,1.426
145,883,A,1,H,1,136,1.36,1.408
145,883,A,1,H,1,138.2,1.382,1.474
145,883,A,1,H,1,140.7,1.407,1.531
145,883,A,1,H,2,2.2,1.522,1.421
145,883,A,1,H,2,5,1.55,1.5
145,883,A,1,H,2,5.2,1.552,1.5
145,883,A,1,H,2,7.3,1.573,1.473
145,883,A,1,H,2,10,1.6,1.482
145,883,A,1,H,2,12.3,1.623,1.495
145,883,A,1,H,2,14.3,1.643,1.544
145,883,A,1,H,2,15,1.65,1.463
145,883,A,1,H,2,16.7,1.667,1.431
145,883,A,1,H,2,19.2,1.692,1.484
145,883,A,1,H,2,20,1.7,1.505
145,883,A,1,H,2,21.6,1.716,1.322
145,883,A,1,H,2,23.8,1.738,1.336
145,883,A,1,H,2,25,1.75,1.284
145,883,A,1,H,2,26.1,1.761,1.315
145,883,A,1,H,2,28.6,1.786,1.287
145,883,A,1,H,2,30,1.8,1.223
145,883,A,1,H,2,30.9,1.809,1.33
145,883,A,1,H,2,33.3,1.833,1.259
