Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.
145,883,A,1,H,1,4.5,0.045,85,                  
145,883,A,1,H,1,9.5,0.095,74,                  
145,883,A,1,H,1,14.5,0.145,69,                  
145,883,A,1,H,1,19.5,0.195,74,                  
145,883,A,1,H,1,24.5,0.245,88,                  
145,883,A,1,H,1,29.5,0.295,86,                  
145,883,A,1,H,1,34.5,0.345,84,                  
145,883,A,1,H,1,39.5,0.395,92,                  
145,883,A,1,H,1,44.5,0.445,86,                  
145,883,A,1,H,1,49.5,0.495,96,                  
145,883,A,1,H,1,54.5,0.545,87,                  
145,883,A,1,H,1,59.5,0.595,76,                  
145,883,A,1,H,1,64.5,0.645,100,                  
145,883,A,1,H,1,69.5,0.695,94,                  
145,883,A,1,H,1,74.5,0.745,96,                  
145,883,A,1,H,1,79.5,0.795,113,                  
145,883,A,1,H,1,84.5,0.845,143,                  
145,883,A,1,H,1,89.5,0.895,145,                  
145,883,A,1,H,1,94.5,0.945,157,                  
145,883,A,1,H,1,99.5,0.995,157,                  
145,883,A,1,H,1,104.5,1.045,162,                  
145,883,A,1,H,1,109.5,1.095,175,                  
145,883,A,1,H,1,114.5,1.145,152,                  
145,883,A,1,H,1,119.5,1.195,154,                  
145,883,A,1,H,1,124.5,1.245,158,                  
145,883,A,1,H,1,129.5,1.295,171,                  
145,883,A,1,H,1,134.5,1.345,145,                  
145,883,A,1,H,1,139.5,1.395,129,                  
145,883,A,1,H,1,144.5,1.445,127,                  
145,883,A,1,H,2,4.5,1.545,138,                  
145,883,A,1,H,2,9.6,1.596,137,                  
145,883,A,1,H,2,14.5,1.645,101,                  
145,883,A,1,H,2,19.5,1.695,100,                  
145,883,A,1,H,2,24.5,1.745,78,                  
145,883,A,1,H,2,29.5,1.795,74,                  
145,883,A,1,H,2,34.5,1.845,79,                  
145,883,A,1,H,2,39.5,1.895,74,                  
145,883,A,1,H,2,44.5,1.945,71,                  
145,883,A,1,H,2,49.7,1.997,81,                  
145,883,A,1,H,2,54.5,2.045,75,                  
