Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Density (g/cc)
145,883,B,1,H,2,2.3,1.523,1.38
145,883,B,1,H,2,5,1.55,1.198
145,883,B,1,H,2,5.3,1.553,1.246
145,883,B,1,H,2,7.7,1.577,1.334
145,883,B,1,H,2,10.1,1.601,1.355
145,883,B,1,H,2,12.3,1.623,1.321
145,883,B,1,H,2,15,1.65,1.377
145,883,B,1,H,2,16.9,1.669,1.465
145,883,B,1,H,2,19.4,1.694,1.473
145,883,B,1,H,2,20,1.7,1.459
145,883,B,1,H,2,21.8,1.718,1.349
145,883,B,1,H,2,24,1.74,1.374
145,883,B,1,H,2,25,1.75,1.445
145,883,B,1,H,2,26.4,1.764,1.411
145,883,B,1,H,2,28.9,1.789,1.367
145,883,B,1,H,2,30,1.8,1.354
145,883,B,1,H,2,31.3,1.813,1.447
145,883,B,1,H,2,33.5,1.835,1.444
145,883,B,1,H,2,35.7,1.857,1.321
145,883,B,1,H,2,38.2,1.882,1.324
145,883,B,1,H,2,39.9,1.899,0.555
145,883,B,1,H,2,40.6,1.906,1.414
145,883,B,1,H,2,42.9,1.929,1.412
145,883,B,1,H,2,45,1.95,1.464
145,883,B,1,H,2,45.3,1.953,1.352
145,883,B,1,H,2,47.5,1.975,1.378
145,883,B,1,H,2,50,2,1.392
145,883,B,1,H,2,52.5,2.025,1.457
145,883,B,1,H,2,55,2.05,1.405
145,883,B,1,H,2,57,2.07,1.336
145,883,B,1,H,2,59.4,2.094,1.439
145,883,B,1,H,2,60,2.1,1.422
145,883,B,1,H,2,61.7,2.117,1.414
145,883,B,1,H,2,64.1,2.141,1.409
145,883,B,1,H,2,64.9,2.149,1.371
145,883,B,1,H,2,66.3,2.163,1.37
145,883,B,1,H,2,68.7,2.187,1.362
145,883,B,1,H,2,70.1,2.201,1.405
145,883,B,1,H,2,71,2.21,1.402
145,883,B,1,H,2,73.4,2.234,1.38
145,883,B,1,H,2,74.9,2.249,1.471
145,883,B,1,H,2,75.7,2.257,1.402
145,883,B,1,H,2,78,2.28,1.408
145,883,B,1,H,2,80.1,2.301,1.504
145,883,B,1,H,2,80.5,2.305,1.441
145,883,B,1,H,2,82.8,2.328,1.379
145,883,B,1,H,2,85,2.35,1.434
145,883,B,1,H,2,85.3,2.353,1.415
145,883,B,1,H,2,87.6,2.376,1.385
145,883,B,1,H,2,90,2.4,1.372
145,883,B,1,H,2,92.4,2.424,1.42
145,883,B,1,H,2,94.5,2.445,1.415
145,883,B,1,H,2,96.9,2.469,1.422
145,883,B,1,H,2,99.3,2.493,1.361
145,883,B,1,H,2,101.6,2.516,1.374
145,883,B,1,H,2,104.1,2.541,1.465
145,883,B,1,H,2,106.3,2.563,1.54
145,883,B,1,H,2,108.8,2.588,1.576
145,883,B,1,H,2,111,2.61,1.43
145,883,B,1,H,2,113.3,2.633,1.46
145,883,B,1,H,2,115.6,2.656,1.483
145,883,B,1,H,2,118.1,2.681,1.368
145,883,B,1,H,2,120.4,2.704,1.383
145,883,B,1,H,2,122.6,2.726,1.354
145,883,B,1,H,2,125,2.75,1.443
145,883,B,1,H,2,127.3,2.773,1.362
145,883,B,1,H,3,2.2,3.022,1.365
145,883,B,1,H,3,5,3.05,1.435
145,883,B,1,H,3,5.1,3.051,1.4
145,883,B,1,H,3,7.3,3.073,1.427
145,883,B,1,H,3,10,3.1,1.443
145,883,B,1,H,3,12,3.12,1.432
145,883,B,1,H,3,14.4,3.144,1.362
145,883,B,1,H,3,15,3.15,1.403
145,883,B,1,H,3,16.5,3.165,1.356
145,883,B,1,H,3,18.9,3.189,1.392
145,883,B,1,H,3,20,3.2,1.43
145,883,B,1,H,3,21.2,3.212,1.447
145,883,B,1,H,3,23.5,3.235,1.354
145,883,B,1,H,3,25,3.25,1.338
145,883,B,1,H,3,25.8,3.258,1.364
145,883,B,1,H,3,28.3,3.283,1.374
145,883,B,1,H,3,30,3.3,1.277
145,883,B,1,H,3,30.8,3.308,1.315
145,883,B,1,H,3,33,3.33,1.356
145,883,B,1,H,3,35,3.35,1.37
145,883,B,1,H,3,35.3,3.353,1.34
145,883,B,1,H,3,37.8,3.378,1.381
145,883,B,1,H,3,40,3.4,1.412
145,883,B,1,H,3,40.1,3.401,1.362
145,883,B,1,H,3,42.5,3.425,1.346
145,883,B,1,H,3,45,3.45,1.375
145,883,B,1,H,3,47.3,3.473,1.401
145,883,B,1,H,3,50,3.5,1.394
145,883,B,1,H,3,51.6,3.516,1.43
145,883,B,1,H,3,54.1,3.541,1.353
145,883,B,1,H,3,54.9,3.549,1.413
145,883,B,1,H,3,56.3,3.563,1.405
145,883,B,1,H,3,58.7,3.587,1.387
145,883,B,1,H,3,59.9,3.599,1.359
145,883,B,1,H,3,61,3.61,1.372
145,883,B,1,H,3,63.3,3.633,1.377
145,883,B,1,H,3,65,3.65,1.451
145,883,B,1,H,3,65.9,3.659,1.385
145,883,B,1,H,3,68.1,3.681,1.389
145,883,B,1,H,3,70.1,3.701,1.387
145,883,B,1,H,3,70.7,3.707,1.366
145,883,B,1,H,3,73,3.73,1.399
145,883,B,1,H,3,75,3.75,1.364
145,883,B,1,H,3,77.8,3.778,1.45
145,883,B,1,H,3,80,3.8,1.496
145,883,B,1,H,3,82.2,3.822,1.399
145,883,B,1,H,3,85.1,3.851,1.465
145,883,B,1,H,3,87.1,3.871,1.405
145,883,B,1,H,3,89.5,3.895,1.447
145,883,B,1,H,3,90,3.9,1.403
145,883,B,1,H,3,91.8,3.918,1.451
145,883,B,1,H,3,94.4,3.944,1.491
145,883,B,1,H,3,95,3.95,1.46
145,883,B,1,H,3,96.4,3.964,1.447
145,883,B,1,H,3,98.9,3.989,1.432
145,883,B,1,H,3,100,4,1.413
145,883,B,1,H,3,101.2,4.012,1.422
145,883,B,1,H,3,103.5,4.035,1.468
145,883,B,1,H,3,105,4.05,1.425
145,883,B,1,H,3,105.9,4.059,1.408
145,883,B,1,H,3,108.3,4.083,1.444
145,883,B,1,H,3,110,4.1,1.392
145,883,B,1,H,3,111,4.11,1.401
145,883,B,1,H,3,113,4.13,1.343
145,883,B,1,H,3,115.7,4.157,1.261
145,883,B,1,H,3,117.7,4.177,1.232
145,883,B,1,H,3,120.3,4.203,1.259
145,883,B,1,H,3,122.5,4.225,1.231
145,883,B,1,H,3,125,4.25,1.28
145,883,B,1,H,3,127,4.27,1.378
145,883,B,1,H,3,129.6,4.296,1.455
145,883,B,1,H,3,131.9,4.319,1.486
145,883,B,1,H,3,134.2,4.342,1.597
145,883,B,1,H,3,136.3,4.363,1.448
145,883,B,1,H,3,138.9,4.389,1.457
145,883,B,1,H,3,141.1,4.411,1.428
145,883,B,1,H,3,143.6,4.436,1.383
145,883,B,1,H,3,145.6,4.456,1.387
145,883,B,1,H,4,2.2,4.522,1.292
145,883,B,1,H,4,5,4.55,1.334
145,883,B,1,H,4,5.1,4.551,1.346
145,883,B,1,H,4,7.5,4.575,1.365
145,883,B,1,H,4,10,4.6,1.309
