Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Density (g/cc)
145,883,C,1,H,1,2,0.02,1.009
145,883,C,1,H,1,4.7,0.047,1.133
145,883,C,1,H,1,7,0.07,1.182
145,883,C,1,H,1,10,0.1,1.357
145,883,C,1,H,1,11.9,0.119,1.31
145,883,C,1,H,1,14.1,0.141,1.362
145,883,C,1,H,1,16.5,0.165,1.41
145,883,C,1,H,1,18.7,0.187,1.366
145,883,C,1,H,1,21.1,0.211,1.415
145,883,C,1,H,1,23.3,0.233,1.419
145,883,C,1,H,1,25,0.25,1.415
145,883,C,1,H,1,25.7,0.257,1.429
145,883,C,1,H,1,28.3,0.283,1.386
145,883,C,1,H,1,32.7,0.327,1.413
145,883,C,1,H,1,35.1,0.351,1.322
145,883,C,1,H,1,37.3,0.373,1.349
145,883,C,1,H,1,40,0.4,1.307
145,883,C,1,H,1,42,0.42,1.352
145,883,C,1,H,1,44.4,0.444,1.27
145,883,C,1,H,1,46.7,0.467,1.238
145,883,C,1,H,1,49,0.49,1.229
145,883,C,1,H,1,51.3,0.513,1.339
145,883,C,1,H,1,53.6,0.536,1.223
145,883,C,1,H,1,54.9,0.549,1.318
145,883,C,1,H,1,56,0.56,1.297
145,883,C,1,H,1,58.4,0.584,1.239
145,883,C,1,H,1,60.7,0.607,1.283
145,883,C,1,H,1,63,0.63,1.316
145,883,C,1,H,1,65.4,0.654,1.352
145,883,C,1,H,1,67.7,0.677,1.4
145,883,C,1,H,1,70,0.7,1.393
145,883,C,1,H,1,72.3,0.723,1.29
145,883,C,1,H,1,74.6,0.746,1.33
145,883,C,1,H,1,77,0.77,1.371
145,883,C,1,H,1,79.3,0.793,1.35
145,883,C,1,H,1,81.6,0.816,1.314
145,883,C,1,H,1,83.9,0.839,1.346
145,883,C,1,H,1,84.9,0.849,1.337
145,883,C,1,H,1,86.7,0.867,1.293
145,883,C,1,H,1,88.9,0.889,1.342
145,883,C,1,H,1,91.2,0.912,1.403
145,883,C,1,H,1,93.6,0.936,1.373
145,883,C,1,H,1,95.7,0.957,1.332
145,883,C,1,H,1,98.3,0.983,1.367
145,883,C,1,H,1,100,1,1.432
