Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.
145,883,C,1,H,1,4.6,0.046,84,                  
145,883,C,1,H,1,19.5,0.195,110,                  
145,883,C,1,H,1,34.5,0.345,77,                  
145,883,C,1,H,1,49.5,0.495,40,                  
145,883,C,1,H,1,64.5,0.645,81,                  
145,883,C,1,H,1,79.5,0.795,101,                  
145,883,C,1,H,1,94.5,0.945,160,                  
145,883,C,1,H,1,109.5,1.095,158,                  
145,883,C,1,H,1,124.7,1.247,157,                  
145,883,C,1,H,1,139.6,1.396,159,                  
145,883,C,1,H,2,4.5,1.545,150,                  
145,883,C,1,H,2,19.6,1.696,149,                  
145,883,C,1,H,2,34.6,1.846,144,                  
145,883,C,1,H,2,49.5,1.995,113,                  
145,883,C,1,H,2,64.5,2.145,146,                  
145,883,C,1,H,2,79.5,2.295,127,                  
145,883,C,1,H,2,94.5,2.445,146,                  
145,883,C,1,H,2,109.6,2.596,105,                  
145,883,C,1,H,2,124.5,2.745,128,                  
145,883,C,1,H,2,139.6,2.896,132,                  
145,883,C,2,H,1,4.5,3.045,131,                  
145,883,C,2,H,1,19.5,3.195,122,                  
145,883,C,2,H,1,34.5,3.345,127,                  
145,883,C,2,H,1,49.5,3.495,114,                  
145,883,C,2,H,1,64.5,3.645,87,                  
145,883,C,2,H,1,79.5,3.795,77,                  
145,883,C,2,H,1,94.5,3.945,63,                  
145,883,C,2,H,1,109.5,4.095,77,                  
145,883,C,2,H,1,124.6,4.246,49,                  
145,883,C,2,H,1,139.6,4.396,47,                  
145,883,C,2,H,2,4.5,4.545,60,                  
145,883,C,2,H,2,19.5,4.695,83,                  
145,883,C,2,H,2,34.5,4.845,214,                  
145,883,C,2,H,2,49.5,4.995,98,                  
145,883,C,2,H,2,64.6,5.146,112,                  
145,883,C,2,H,2,79.5,5.295,87,                  
145,883,C,2,H,2,94.6,5.446,55,                  
145,883,C,2,H,2,109.5,5.595,52,                  
145,883,C,2,H,2,124.6,5.746,121,                  
145,883,C,2,H,2,139.6,5.896,153,                  
145,883,C,2,H,3,4.5,6.045,132,                  
145,883,C,2,H,3,19.6,6.196,133,                  
145,883,C,2,H,3,34.7,6.347,104,                  
145,883,C,2,H,3,49.5,6.495,163,                  
145,883,C,2,H,3,64.5,6.645,156,                  
145,883,C,2,H,3,79.5,6.795,150,                  
145,883,C,2,H,3,94.6,6.946,152,                  
145,883,C,2,H,3,109.7,7.097,155,                  
145,883,C,2,H,3,124.7,7.247,146,                  
145,883,C,2,H,3,139.7,7.397,122,                  
145,883,C,2,H,4,4.5,7.545,192,                  
145,883,C,2,H,4,19.5,7.695,142,                  
145,883,C,2,H,4,34.6,7.846,142,                  
145,883,C,2,H,4,49.5,7.995,146,                  
145,883,C,2,H,4,64.5,8.145,86,                  
145,883,C,2,H,4,79.5,8.295,158,                  
145,883,C,2,H,4,94.6,8.446,244,                  
145,883,C,2,H,4,109.5,8.595,122,                  
145,883,C,2,H,4,124.6,8.746,226,                  
145,883,C,2,H,4,139.5,8.895,157,                  
145,883,C,2,H,5,4.5,9.045,135,                  
145,883,C,2,H,5,19.5,9.195,136,                  
145,883,C,2,H,5,34.5,9.345,92,                  
145,883,C,2,H,5,49.6,9.496,143,                  
145,883,C,2,H,5,64.5,9.645,26,                  
145,883,C,2,H,5,79.5,9.795,83,                  
145,883,C,2,H,5,94.5,9.945,120,                  
145,883,C,2,H,5,109.7,10.097,113,                  
145,883,C,2,H,5,124.5,10.245,57,                  
145,883,C,2,H,5,139.6,10.396,63,                  
145,883,C,2,H,6,4.5,10.545,127,                  
145,883,C,2,H,6,19.5,10.695,149,                  
145,883,C,2,H,6,34.5,10.845,252,                  
145,883,C,2,H,6,49.5,10.995,29,                  
145,883,C,2,H,6,64.5,11.145,48,                  
145,883,C,2,H,6,79.5,11.295,38,                  
145,883,C,2,H,6,94.5,11.445,167,                  
145,883,C,2,H,6,109.6,11.596,119,                  
145,883,C,2,H,6,124.6,11.746,80,                  
145,883,C,2,H,6,139.6,11.896,106,                  
145,883,C,2,H,7,4.5,12.045,70,                  
145,883,C,2,H,7,19.5,12.195,56,                  
145,883,C,2,H,7,34.5,12.345,75,                  
145,883,C,2,H,7,49.5,12.495,108,                  
145,883,C,2,H,7,64.5,12.645,118,                  
145,883,C,3,H,1,4.6,12.546,71,                  
145,883,C,3,H,1,19.5,12.695,209,                  
145,883,C,3,H,1,34.5,12.845,151,                  
145,883,C,3,H,1,49.6,12.996,169,                  
145,883,C,3,H,1,64.5,13.145,184,                  
145,883,C,3,H,1,79.5,13.295,166,                  
145,883,C,3,H,1,94.5,13.445,164,                  
145,883,C,3,H,1,109.5,13.595,154,                  
145,883,C,3,H,1,124.5,13.745,94,                  
145,883,C,3,H,1,139.6,13.896,125,                  
145,883,C,3,H,2,4.6,14.046,95,                  
145,883,C,3,H,2,19.7,14.197,176,                  
145,883,C,3,H,2,34.6,14.346,164,                  
145,883,C,3,H,2,49.5,14.495,339,                  
145,883,C,3,H,2,64.5,14.645,110,                  
145,883,C,3,H,2,79.5,14.795,45,                  
145,883,C,3,H,2,94.5,14.945,111,                  
145,883,C,3,H,2,109.6,15.096,73,                  
145,883,C,3,H,2,124.7,15.247,142,                  
145,883,C,3,H,2,139.5,15.395,95,                  
145,883,C,3,H,3,4.5,15.545,122,                  
145,883,C,3,H,3,19.5,15.695,56,                  
145,883,C,3,H,3,34.5,15.845,65,                  
145,883,C,3,H,3,49.6,15.996,114,                  
145,883,C,3,H,3,64.6,16.146,198,                  
145,883,C,3,H,3,79.5,16.295,152,                  
145,883,C,3,H,3,94.6,16.446,155,                  
145,883,C,3,H,3,109.7,16.597,165,                  
145,883,C,3,H,3,124.5,16.745,159,                  
145,883,C,3,H,3,139.5,16.895,178,                  
145,883,C,3,H,4,4.6,17.046,90,                  
145,883,C,3,H,4,19.5,17.195,160,                  
145,883,C,3,H,4,34.5,17.345,158,                  
145,883,C,3,H,4,49.6,17.496,158,                  
145,883,C,3,H,4,64.6,17.646,163,                  
145,883,C,3,H,4,79.5,17.795,153,                  
145,883,C,3,H,4,94.5,17.945,106,                  
145,883,C,3,H,4,109.6,18.096,125,                  
145,883,C,3,H,4,124.5,18.245,98,                  
145,883,C,3,H,4,139.6,18.396,147,                  
145,883,C,3,H,5,4.6,18.546,119,                  
145,883,C,3,H,5,19.5,18.695,163,                  
145,883,C,3,H,5,34.5,18.845,124,                  
145,883,C,3,H,5,49.5,18.995,135,                  
145,883,C,3,H,5,64.5,19.145,87,                  
145,883,C,3,H,5,79.6,19.296,88,                  
145,883,C,3,H,5,94.5,19.445,94,                  
145,883,C,3,H,5,109.6,19.596,86,                  
145,883,C,3,H,5,124.5,19.745,128,                  
145,883,C,3,H,5,139.6,19.896,120,                  
145,883,C,3,H,7,4.5,21.545,56,                  
145,883,C,3,H,7,19.5,21.695,65,                  
145,883,C,3,H,7,34.7,21.847,151,                  
145,883,C,3,H,7,49.6,21.996,105,                  
145,883,C,3,H,7,64.5,22.145,150,                  
145,883,C,4,H,1,4.5,22.045,77,                  
145,883,C,4,H,1,19.5,22.195,60,                  
145,883,C,4,H,1,34.5,22.345,88,                  
145,883,C,4,H,1,49.5,22.495,195,                  
145,883,C,4,H,1,64.5,22.645,191,                  
145,883,C,4,H,1,79.5,22.795,216,                  
145,883,C,4,H,1,94.5,22.945,270,                  
145,883,C,4,H,1,109.5,23.095,209,                  
145,883,C,4,H,1,124.5,23.245,184,                  
145,883,C,4,H,1,139.5,23.395,196,                  
145,883,C,4,H,2,4.6,23.546,59,                  
145,883,C,4,H,2,19.6,23.696,62,                  
145,883,C,4,H,2,34.5,23.845,61,                  
145,883,C,4,H,2,49.5,23.995,59,                  
145,883,C,4,H,2,64.5,24.145,65,                  
145,883,C,4,H,2,79.5,24.295,65,                  
145,883,C,4,H,2,94.6,24.446,69,                  
145,883,C,4,H,2,109.6,24.596,68,                  
145,883,C,4,H,2,124.7,24.747,66,                  
145,883,C,4,H,2,139.5,24.895,67,                  
145,883,C,4,H,3,4.5,25.045,56,                  
145,883,C,4,H,3,19.5,25.195,68,                  
145,883,C,4,H,3,34.5,25.345,70,                  
145,883,C,4,H,3,49.5,25.495,72,                  
145,883,C,4,H,3,64.6,25.646,70,                  
145,883,C,4,H,3,79.5,25.795,70,                  
145,883,C,4,H,3,94.5,25.945,68,                  
145,883,C,4,H,3,109.5,26.095,71,                  
145,883,C,4,H,3,124.7,26.247,69,                  
145,883,C,4,H,3,139.6,26.396,71,                  
145,883,C,4,H,4,4.5,26.545,63,                  
145,883,C,4,H,4,19.6,26.696,70,                  
145,883,C,4,H,4,34.6,26.846,73,                  
145,883,C,4,H,4,49.5,26.995,75,                  
145,883,C,4,H,4,64.5,27.145,74,                  
145,883,C,4,H,4,79.5,27.295,21,                  
145,883,C,4,H,4,94.5,27.445,16,                  
145,883,C,4,H,4,109.5,27.595,17,                  
145,883,C,4,H,4,124.5,27.745,24,                  
145,883,C,4,H,4,139.5,27.895,75,                  
145,883,C,4,H,5,4.6,28.046,69,                  
145,883,C,4,H,5,19.5,28.195,74,                  
145,883,C,4,H,5,34.5,28.345,74,                  
145,883,C,4,H,5,49.5,28.495,73,                  
145,883,C,4,H,5,64.5,28.645,73,                  
145,883,C,4,H,5,79.6,28.796,67,                  
145,883,C,4,H,5,94.5,28.945,66,                  
145,883,C,4,H,5,109.6,29.096,76,                  
145,883,C,4,H,5,124.6,29.246,72,                  
145,883,C,4,H,5,139.5,29.395,73,                  
145,883,C,4,H,6,4.5,29.545,68,                  
145,883,C,4,H,6,19.5,29.695,73,                  
145,883,C,4,H,6,34.7,29.847,71,                  
145,883,C,4,H,6,49.5,29.995,74,                  
145,883,C,4,H,6,64.5,30.145,72,                  
145,883,C,4,H,6,79.5,30.295,71,                  
145,883,C,4,H,6,94.6,30.446,70,                  
145,883,C,5,H,1,4.6,31.546,99,                  
145,883,C,5,H,1,19.5,31.695,110,                  
145,883,C,5,H,1,34.5,31.845,51,                  
145,883,C,5,H,1,49.5,31.995,127,                  
145,883,C,5,H,1,64.6,32.146,59,                  
145,883,C,5,H,1,79.6,32.296,77,                  
145,883,C,5,H,1,94.5,32.445,145,                  
145,883,C,5,H,1,109.6,32.596,158,                  
145,883,C,5,H,1,124.6,32.746,122,                  
145,883,C,5,H,1,139.6,32.896,104,                  
145,883,C,5,H,2,4.5,33.045,73,                  
145,883,C,5,H,2,19.5,33.195,87,                  
145,883,C,5,H,2,34.5,33.345,79,                  
145,883,C,5,H,2,49.5,33.495,112,                  
145,883,C,5,H,2,64.5,33.645,137,                  
145,883,C,5,H,2,79.5,33.795,193,                  
145,883,C,5,H,2,94.5,33.945,119,                  
145,883,C,5,H,2,109.5,34.095,118,                  
145,883,C,5,H,2,124.7,34.247,80,                  
145,883,C,5,H,2,139.5,34.395,73,                  
145,883,C,5,H,3,4.5,34.545,142,                  
145,883,C,5,H,3,19.5,34.695,135,                  
145,883,C,5,H,3,34.5,34.845,125,                  
145,883,C,5,H,3,49.5,34.995,115,                  
145,883,C,5,H,3,64.5,35.145,94,                  
145,883,C,5,H,3,79.5,35.295,109,                  
145,883,C,5,H,3,94.5,35.445,143,                  
145,883,C,5,H,3,109.7,35.597,139,                  
145,883,C,5,H,3,124.7,35.747,158,                  
145,883,C,5,H,3,139.5,35.895,143,                  
145,883,C,5,H,4,4.6,36.046,128,                  
145,883,C,5,H,4,19.6,36.196,83,                  
145,883,C,5,H,4,34.5,36.345,102,                  
145,883,C,5,H,4,49.5,36.495,102,                  
145,883,C,5,H,4,64.5,36.645,59,                  
145,883,C,5,H,4,79.5,36.795,133,                  
145,883,C,5,H,4,94.6,36.946,124,                  
145,883,C,5,H,4,109.6,37.096,159,                  
145,883,C,5,H,4,124.5,37.245,90,                  
145,883,C,5,H,4,139.5,37.395,122,                  
145,883,C,5,H,5,4.5,37.545,97,                  
145,883,C,5,H,5,19.5,37.695,91,                  
145,883,C,5,H,5,34.6,37.846,121,                  
145,883,C,5,H,5,49.6,37.996,167,                  
145,883,C,5,H,5,64.5,38.145,140,                  
145,883,C,5,H,5,79.6,38.296,151,                  
145,883,C,5,H,5,94.5,38.445,178,                  
145,883,C,5,H,5,109.5,38.595,145,                  
145,883,C,5,H,5,124.6,38.746,137,                  
145,883,C,5,H,5,139.5,38.895,126,                  
145,883,C,5,H,6,4.5,39.045,148,                  
145,883,C,5,H,6,9.6,39.096,126,                  
145,883,C,5,H,6,14.5,39.145,107,                  
145,883,C,5,H,6,19.5,39.195,150,                  
145,883,C,5,H,6,24.5,39.245,129,                  
145,883,C,5,H,6,29.5,39.295,91,                  
145,883,C,5,H,6,34.5,39.345,45,                  
145,883,C,5,H,6,39.6,39.396,33,                  
145,883,C,5,H,6,44.5,39.445,33,                  
145,883,C,5,H,6,49.5,39.495,33,                  
145,883,C,5,H,6,54.5,39.545,75,                  
145,883,C,5,H,6,59.5,39.595,82,                  
145,883,C,5,H,6,64.6,39.646,56,                  
145,883,C,5,H,6,69.5,39.695,44,                  
145,883,C,5,H,6,74.5,39.745,38,                  
145,883,C,5,H,6,79.5,39.795,87,                  
145,883,C,5,H,6,84.6,39.846,55,                  
145,883,C,5,H,6,89.5,39.895,124,                  
145,883,C,5,H,6,94.6,39.946,135,                  
145,883,C,5,H,6,99.5,39.995,130,                  
145,883,C,5,H,6,104.5,40.045,117,                  
145,883,C,5,H,6,109.5,40.095,111,                  
145,883,C,5,H,6,114.6,40.146,92,                  
145,883,C,5,H,6,119.6,40.196,69,                  
145,883,C,5,H,6,124.5,40.245,57,                  
145,883,C,5,H,6,129.6,40.296,85,                  
145,883,C,5,H,6,134.5,40.345,126,                  
145,883,C,5,H,6,139.6,40.396,82,                  
145,883,C,5,H,6,144.6,40.446,53,                  
145,883,C,5,H,6,149.6,40.496,18,                  
145,883,C,5,H,7,4.5,40.545,12,                  
145,883,C,5,H,7,9.5,40.595,11,                  
145,883,C,5,H,7,14.5,40.645,12,                  
145,883,C,5,H,7,19.5,40.695,25,                  
145,883,C,5,H,7,24.5,40.745,56,                  
145,883,C,5,H,7,29.5,40.795,120,                  
145,883,C,5,H,7,34.5,40.845,120,                  
145,883,C,5,H,7,39.7,40.897,125,                  
145,883,C,5,H,7,44.5,40.945,87,                   
