Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Density (g/cc)
145,883,D,1,H,1,2.3,0.023,1.358
145,883,D,1,H,1,5,0.05,1.397
145,883,D,1,H,1,5.2,0.052,1.332
145,883,D,1,H,1,7.4,0.074,1.387
145,883,D,1,H,1,10,0.1,1.444
145,883,D,1,H,1,12.3,0.123,1.462
145,883,D,1,H,1,15,0.15,1.378
145,883,D,1,H,1,16.9,0.169,1.364
145,883,D,1,H,1,19.2,0.192,1.41
145,883,D,1,H,1,20,0.2,1.312
145,883,D,1,H,1,21.6,0.216,1.372
145,883,D,1,H,1,24,0.24,1.342
145,883,D,1,H,1,25.1,0.251,1.359
145,883,D,1,H,1,26.4,0.264,1.358
145,883,D,1,H,1,28.6,0.286,1.379
145,883,D,1,H,1,30,0.3,1.397
145,883,D,1,H,1,31,0.31,1.364
145,883,D,1,H,1,33.3,0.333,1.401
145,883,D,1,H,1,35,0.35,1.372
145,883,D,1,H,1,35.6,0.356,1.372
145,883,D,1,H,1,38,0.38,1.364
145,883,D,1,H,1,40,0.4,1.412
145,883,D,1,H,1,40.2,0.402,1.382
145,883,D,1,H,1,42.5,0.425,1.334
145,883,D,1,H,1,45,0.45,1.314
145,883,D,1,H,1,47.2,0.472,1.257
145,883,D,1,H,1,50,0.5,1.274
145,883,D,1,H,1,52,0.52,1.233
145,883,D,1,H,1,54.4,0.544,1.147
145,883,D,1,H,1,55,0.55,1.218
145,883,D,1,H,1,56.7,0.567,1.202
145,883,D,1,H,1,58.9,0.589,1.248
145,883,D,1,H,1,60,0.6,1.284
145,883,D,1,H,1,61.4,0.614,1.237
145,883,D,1,H,1,63.7,0.637,1.271
145,883,D,1,H,1,65,0.65,1.278
145,883,D,1,H,1,66.2,0.662,1.262
145,883,D,1,H,1,68.4,0.684,1.179
145,883,D,1,H,1,70,0.7,1.349
145,883,D,1,H,1,70.8,0.708,1.381
145,883,D,1,H,1,73,0.73,1.264
145,883,D,1,H,1,75,0.75,1.339
145,883,D,1,H,1,75.3,0.753,1.312
145,883,D,1,H,1,77.7,0.777,1.356
145,883,D,1,H,1,80,0.8,1.243
145,883,D,1,H,1,82.5,0.825,1.339
145,883,D,1,H,1,85,0.85,1.294
145,883,D,1,H,1,86.8,0.868,1.267
145,883,D,1,H,1,89.3,0.893,1.269
145,883,D,1,H,1,90.1,0.901,1.308
145,883,D,1,H,1,91.7,0.917,1.389
145,883,D,1,H,1,94.1,0.941,1.373
145,883,D,1,H,1,94.9,0.949,1.377
145,883,D,1,H,1,96.5,0.965,1.308
145,883,D,1,H,1,98.7,0.987,1.41
145,883,D,1,H,1,100,1,1.409
145,883,D,1,H,1,101.1,1.011,1.274
145,883,D,1,H,1,103.4,1.034,1.304
145,883,D,1,H,1,105,1.05,1.371
145,883,D,1,H,1,105.8,1.058,1.412
145,883,D,1,H,1,108.2,1.082,1.387
145,883,D,1,H,1,110.1,1.101,1.354
145,883,D,1,H,1,110.5,1.105,1.338
145,883,D,1,H,1,112.9,1.129,1.366
145,883,D,1,H,1,115.2,1.152,1.291
145,883,D,1,H,1,117.5,1.175,1.361
145,883,D,1,H,1,119.9,1.199,1.344
145,883,D,1,H,1,122.3,1.223,1.33
145,883,D,1,H,1,124.5,1.245,1.357
145,883,D,1,H,1,126.9,1.269,1.356
145,883,D,1,H,1,129.2,1.292,1.28
145,883,D,1,H,1,131.4,1.314,1.277
145,883,D,1,H,1,133.9,1.339,1.385
145,883,D,1,H,1,136.2,1.362,1.292
145,883,D,1,H,1,138.6,1.386,1.328
145,883,D,1,H,1,141,1.41,1.383
145,883,D,1,H,1,143.1,1.431,1.302
