Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.
145,883,D,1,H,1,4.5,0.045,120,                  
145,883,D,1,H,1,9.5,0.095,144,                  
145,883,D,1,H,1,14.5,0.145,132,                  
145,883,D,1,H,1,19.5,0.195,103,                  
145,883,D,1,H,1,24.5,0.245,98,                  
145,883,D,1,H,1,29.5,0.295,106,                  
145,883,D,1,H,1,34.6,0.346,110,                  
145,883,D,1,H,1,39.5,0.395,93,                  
145,883,D,1,H,1,44.5,0.445,74,                  
145,883,D,1,H,1,49.6,0.496,56,                  
145,883,D,1,H,1,54.6,0.546,39,                  
145,883,D,1,H,1,59.6,0.596,50,                  
145,883,D,1,H,1,64.5,0.645,68,                  
145,883,D,1,H,1,69.5,0.695,76,                  
145,883,D,1,H,1,74.5,0.745,93,                  
145,883,D,1,H,1,79.5,0.795,95,                  
145,883,D,1,H,1,84.5,0.845,108,                  
145,883,D,1,H,1,89.5,0.895,128,                  
145,883,D,1,H,1,94.5,0.945,152,                  
145,883,D,1,H,1,99.5,0.995,151,                  
145,883,D,1,H,1,104.6,1.046,148,                  
145,883,D,1,H,1,109.6,1.096,259,                  
145,883,D,1,H,1,114.5,1.145,166,                  
145,883,D,1,H,1,119.6,1.196,149,                  
145,883,D,1,H,1,124.7,1.247,148,                  
145,883,D,1,H,1,129.6,1.296,156,                  
145,883,D,1,H,1,134.6,1.346,157,                  
145,883,D,1,H,1,139.5,1.395,145,                  
145,883,D,1,H,1,144.7,1.447,132,                  
145,883,D,1,H,1,149.5,1.495,28,                  
145,883,D,1,H,2,4.5,1.545,145,                  
145,883,D,1,H,2,9.5,1.595,169,                  
145,883,D,1,H,2,14.5,1.645,160,                  
145,883,D,1,H,2,19.6,1.696,173,                  
145,883,D,1,H,2,24.5,1.745,164,                  
145,883,D,1,H,2,29.6,1.796,156,                  
145,883,D,1,H,2,34.5,1.845,146,                  
145,883,D,1,H,2,39.5,1.895,147,                  
145,883,D,1,H,2,44.6,1.946,149,                  
145,883,D,1,H,2,49.5,1.995,133,                  
145,883,D,1,H,2,54.5,2.045,129,                  
145,883,D,1,H,2,59.5,2.095,117,                  
145,883,D,1,H,2,64.5,2.145,117,                  
145,883,D,1,H,2,69.5,2.195,116,                  
145,883,D,1,H,2,74.5,2.245,120,                  
145,883,D,1,H,2,79.5,2.295,133,                  
145,883,D,1,H,2,84.6,2.346,142,                  
145,883,D,1,H,2,89.5,2.395,134,                  
145,883,D,1,H,2,94.5,2.445,118,                  
145,883,D,1,H,2,99.6,2.496,130,                  
145,883,D,1,H,2,104.5,2.545,147,                  
145,883,D,1,H,2,109.6,2.596,252,                  
145,883,D,1,H,2,114.5,2.645,141,                  
145,883,D,1,H,2,119.6,2.696,126,                  
145,883,D,1,H,2,124.5,2.745,100,                  
145,883,D,1,H,2,129.5,2.795,103,                  
145,883,D,1,H,2,134.7,2.847,124,                  
145,883,D,1,H,2,139.5,2.895,123,                  
