Leg,Site,H,Cor,T,Top(mbsf),Cored(m),Cur(m),Rec(m),Rec(%),Time         ,Comment
,,,,,,,,,,,
145,883,A,1,H,0,9.5,9.5,9.5,100,08/09/92 0745,Other: MUD LINE CORE
145,883,A,2,H,9.5,9.5,9.58,9.58,100.8,08/09/92 0825,
145,883,A,3,H,19,9.5,9.6,9.6,101.1,08/09/92 0855,
145,883,A,4,H,28.5,9.5,9.81,9.81,103.3,08/09/92 0925,
145,883,B,1,H,0,7.9,7.9,7.9,100,08/09/92 1100,
145,883,B,2,H,7.9,9.5,9.9,9.9,104.2,08/09/92 1145,
145,883,B,3,H,17.4,9.5,9.82,9.81,103.3,08/09/92 1220,
145,883,B,4,H,26.9,9.5,7.71,7.71,81.2,08/09/92 1310,
145,883,B,5,H,36.4,9.5,8.86,8.86,93.3,08/09/92 1335,
145,883,B,6,H,45.9,9.5,9.12,9.12,96,08/09/92 1410,
145,883,B,7,H,55.4,9.5,9.79,9.79,103.1,08/09/92 1445,
145,883,B,8,H,64.9,9.5,9.94,9.94,104.6,08/09/92 1515,
145,883,B,9,H,74.4,9.5,9.7,9.7,102.1,08/09/92 1550,
145,883,B,10,H,83.9,9.5,8.82,8.82,92.8,08/09/92 1630,
145,883,B,11,H,93.4,9.5,9.77,9.77,102.8,08/09/92 1700,
145,883,B,12,H,102.9,9.5,9.61,9.59,100.9,08/09/92 1730,
145,883,B,13,H,112.4,9.5,9.69,9.67,101.8,08/09/92 1750,
145,883,B,14,H,121.9,9.5,10.12,10.12,106.5,08/09/92 1825,
145,883,B,15,H,131.4,9.5,9.34,9.34,98.3,08/09/92 1900,
145,883,B,16,H,140.9,9.5,9.97,9.97,104.9,08/09/92 1930,
145,883,B,17,H,150.4,9.5,9.77,9.77,102.8,08/09/92 2000,
145,883,B,18,H,159.9,9.5,9.8,9.8,103.2,08/09/92 2030,
145,883,B,19,H,169.4,9.5,9.94,9.94,104.6,08/09/92 2100,
145,883,B,20,H,178.9,9.5,10.01,10.01,105.4,08/09/92 2130,
145,883,B,21,H,188.4,9.5,9.94,9.94,104.6,08/09/92 2200,
145,883,B,22,H,197.9,9.5,9.96,9.96,104.8,08/09/92 2230,
145,883,B,23,H,207.4,9.5,9.83,9.83,103.5,08/09/92 2305,
145,883,B,24,H,216.9,9.5,9.82,9.82,103.4,08/09/92 2350,
145,883,B,25,H,226.4,9.5,9.86,9.86,103.8,08/10/92 0100,
145,883,B,26,H,235.9,9.5,9.46,9.46,99.6,08/10/92 0150,
145,883,B,27,H,245.4,9.5,9.14,9.14,96.2,08/10/92 0235,
145,883,B,28,H,254.9,9.5,9.98,9.98,105.1,08/10/92 0340,
145,883,B,29,H,264.4,9.5,10.02,10.02,105.5,08/10/92 0420,
145,883,B,30,H,273.9,9.5,9.87,9.87,103.9,08/10/92 0450,
145,883,B,31,H,283.4,9.5,9.61,9.61,101.2,08/10/92 0610,
145,883,B,32,X,292.9,9.6,9.68,9.68,100.8,08/10/92 0710,
145,883,B,33,X,302.5,9.7,4.11,4.16,42.9,08/10/92 0750,
145,883,B,34,X,312.2,9.7,7.42,7.47,77,08/10/92 0830,
145,883,B,35,X,321.9,9.6,7.86,7.83,81.6,08/10/92 0920,
