Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Density (g/cc)
145,887,A,1,H,1,2.2,0.022,1.072
145,887,A,1,H,1,5,0.05,1.184
145,887,A,1,H,1,5.3,0.053,1.276
145,887,A,1,H,1,7.4,0.074,1.393
145,887,A,1,H,1,10,0.1,1.403
145,887,A,1,H,1,12.3,0.123,1.379
145,887,A,1,H,1,15,0.15,1.435
145,887,A,1,H,1,17.1,0.171,1.427
145,887,A,1,H,1,19.5,0.195,1.357
145,887,A,1,H,1,20,0.2,1.461
145,887,A,1,H,1,22,0.22,1.435
145,887,A,1,H,1,24.1,0.241,1.494
145,887,A,1,H,1,25,0.25,1.436
145,887,A,1,H,1,26.5,0.265,1.512
145,887,A,1,H,1,29,0.29,1.471
145,887,A,1,H,1,30,0.3,1.483
145,887,A,1,H,1,31.5,0.315,1.533
145,887,A,1,H,1,33.7,0.337,1.469
145,887,A,1,H,1,35,0.35,1.458
145,887,A,1,H,1,36,0.36,1.536
145,887,A,1,H,1,38.5,0.385,1.103
145,887,A,1,H,1,40,0.4,1.378
145,887,A,1,H,1,41,0.41,1.426
145,887,A,1,H,1,43.2,0.432,1.462
145,887,A,1,H,1,45,0.45,1.467
145,887,A,1,H,1,45.6,0.456,1.481
145,887,A,1,H,1,47.9,0.479,1.473
145,887,A,1,H,1,50,0.5,1.459
145,887,A,1,H,1,50.4,0.504,1.469
145,887,A,1,H,1,52.9,0.529,1.38
145,887,A,1,H,1,55,0.55,1.433
145,887,A,1,H,1,55.3,0.553,1.394
145,887,A,1,H,1,57.5,0.575,1.326
145,887,A,1,H,1,60,0.6,1.354
145,887,A,1,H,1,62.4,0.624,1.354
145,887,A,1,H,1,65,0.65,0.666
145,887,A,1,H,1,67,0.67,1.26
145,887,A,1,H,1,69.3,0.693,1.349
145,887,A,1,H,1,70,0.7,1.384
145,887,A,1,H,1,71.8,0.718,1.328
145,887,A,1,H,1,74.3,0.743,1.341
145,887,A,1,H,1,76.6,0.766,1.464
145,887,A,1,H,1,78.8,0.788,1.488
145,887,A,1,H,1,80,0.8,1.487
145,887,A,1,H,1,81.4,0.814,1.48
145,887,A,1,H,1,83.7,0.837,1.561
145,887,A,1,H,1,85,0.85,1.499
145,887,A,1,H,1,86.2,0.862,1.479
145,887,A,1,H,1,88.4,0.884,1.483
145,887,A,1,H,1,90,0.9,1.42
145,887,A,1,H,1,90.7,0.907,1.581
145,887,A,1,H,1,93.2,0.932,1.481
145,887,A,1,H,1,95,0.95,1.509
145,887,A,1,H,1,95.3,0.953,1.433
145,887,A,1,H,1,97.8,0.978,1.503
145,887,A,1,H,1,99.9,0.999,1.476
145,887,A,1,H,1,100,1,1.474
145,887,A,1,H,1,102.4,1.024,1.504
145,887,A,1,H,1,105,1.05,1.469
145,887,A,1,H,1,107.2,1.072,1.491
145,887,A,1,H,1,109.6,1.096,1.536
145,887,A,1,H,1,112,1.12,1.507
145,887,A,1,H,1,114.2,1.142,1.469
145,887,A,1,H,1,116.7,1.167,1.447
145,887,A,1,H,1,118.9,1.189,1.458
145,887,A,1,H,1,121.2,1.212,1.488
145,887,A,1,H,1,123.6,1.236,1.512
145,887,A,1,H,1,125.9,1.259,1.547
145,887,A,1,H,1,128.4,1.284,1.545
145,887,A,1,H,1,130.6,1.306,1.521
145,887,A,1,H,1,133,1.33,1.496
145,887,A,1,H,1,135.3,1.353,1.594
145,887,A,1,H,1,137.6,1.376,1.625
145,887,A,1,H,1,139.9,1.399,1.685
145,887,A,1,H,1,142.3,1.423,1.693
145,887,A,1,H,2,2.2,1.522,1.606
145,887,A,1,H,2,5,1.55,1.619
145,887,A,1,H,2,5.2,1.552,1.655
145,887,A,1,H,2,7.5,1.575,1.696
145,887,A,1,H,2,10,1.6,1.638
145,887,A,1,H,2,12.2,1.622,1.633
145,887,A,1,H,2,14.4,1.644,1.581
145,887,A,1,H,2,15,1.65,1.529
145,887,A,1,H,2,16.9,1.669,1.495
145,887,A,1,H,2,19.4,1.694,1.531
145,887,A,1,H,2,19.9,1.699,1.464
145,887,A,1,H,2,21.7,1.717,1.623
145,887,A,1,H,2,23.8,1.738,1.606
145,887,A,1,H,2,25,1.75,1.592
145,887,A,1,H,2,26.3,1.763,1.606
145,887,A,1,H,2,28.8,1.788,1.528
