Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.
145,887,A,1,H,1,4.6,0.046,65,                  
145,887,A,1,H,1,9.5,0.095,90,                  
145,887,A,1,H,1,14.5,0.145,110,                  
145,887,A,1,H,1,19.6,0.196,90,                  
145,887,A,1,H,1,24.5,0.245,100,                  
145,887,A,1,H,1,29.7,0.297,89,                  
145,887,A,1,H,1,34.5,0.345,110,                  
145,887,A,1,H,1,39.6,0.396,126,                  
145,887,A,1,H,1,44.5,0.445,97,                  
145,887,A,1,H,1,49.5,0.495,51,                  
145,887,A,1,H,1,54.5,0.545,29,                  
145,887,A,1,H,1,59.6,0.596,18,                  
145,887,A,1,H,1,64.5,0.645,15,                  
145,887,A,1,H,1,69.5,0.695,19,                  
145,887,A,1,H,1,74.5,0.745,27,                  
145,887,A,1,H,1,79.5,0.795,46,                  
145,887,A,1,H,1,84.5,0.845,52,                  
145,887,A,1,H,1,89.6,0.896,58,                  
145,887,A,1,H,1,94.5,0.945,62,                  
145,887,A,1,H,1,99.7,0.997,57,                  
145,887,A,1,H,1,104.6,1.046,55,                  
145,887,A,1,H,1,109.5,1.095,59,                  
145,887,A,1,H,1,114.5,1.145,64,                  
145,887,A,1,H,1,119.6,1.196,63,                  
145,887,A,1,H,1,124.6,1.246,67,                  
145,887,A,1,H,1,129.5,1.295,72,                  
145,887,A,1,H,1,134.6,1.346,85,                  
145,887,A,1,H,1,139.5,1.395,166,                  
145,887,A,1,H,1,144.5,1.445,105,                  
145,887,A,1,H,2,4.6,1.546,120,                  
145,887,A,1,H,2,9.6,1.596,126,                  
145,887,A,1,H,2,14.5,1.645,111,                  
145,887,A,1,H,2,19.6,1.696,100,                  
145,887,A,1,H,2,24.5,1.745,100,                  
145,887,A,1,H,2,29.5,1.795,95,                  
145,887,A,1,H,2,34.5,1.845,116,                  
145,887,A,1,H,2,39.6,1.896,122,                  
145,887,A,1,H,2,44.5,1.945,121,                  
145,887,A,1,H,2,49.5,1.995,123,                  
145,887,A,1,H,2,54.5,2.045,96,                  
145,887,A,1,H,2,59.5,2.095,143,                  
145,887,A,1,H,2,64.5,2.145,188,                  
145,887,A,1,H,2,69.6,2.196,193,                  
145,887,A,1,H,2,74.6,2.246,137,                  
145,887,A,1,H,2,79.5,2.295,145,                  
145,887,A,1,H,2,84.5,2.345,96,                  
145,887,A,1,H,2,89.5,2.395,55,                  
145,887,A,1,H,2,94.5,2.445,80,                  
145,887,A,1,H,2,99.5,2.495,135,                  
145,887,A,1,H,2,104.5,2.545,155,                  
145,887,A,1,H,2,109.5,2.595,198,                  
145,887,A,1,H,2,114.5,2.645,200,                  
145,887,A,1,H,2,119.5,2.695,184,                  
145,887,A,1,H,2,124.6,2.746,135,                  
145,887,A,1,H,2,129.5,2.795,82,                  
145,887,A,1,H,2,134.5,2.845,126,                  
145,887,A,1,H,2,139.5,2.895,140,                  
145,887,A,1,H,2,144.6,2.946,169,                  
145,887,A,1,H,2,149.5,2.995,43,                  
145,887,A,1,H,3,4.5,3.045,21,                  
145,887,A,1,H,3,9.6,3.096,15,                  
145,887,A,1,H,3,14.6,3.146,13,                  
145,887,A,1,H,3,19.5,3.195,14,                  
145,887,A,1,H,3,24.6,3.246,24,                  
145,887,A,1,H,3,29.5,3.295,74,                  
145,887,A,1,H,3,34.6,3.346,158,                  
145,887,A,1,H,3,39.6,3.396,151,                  
145,887,A,1,H,3,44.5,3.445,135,                  
145,887,A,1,H,3,49.7,3.497,129,                  
145,887,A,1,H,3,54.5,3.545,95,                  
145,887,A,1,H,3,59.6,3.596,67,                  
145,887,A,1,H,3,64.6,3.646,49,                  
145,887,A,1,H,3,69.5,3.695,37,                  
145,887,A,1,H,3,74.5,3.745,29,                  
145,887,A,1,H,3,79.5,3.795,27,                  
145,887,A,1,H,3,84.6,3.846,47,                  
145,887,A,1,H,3,89.5,3.895,140,                  
145,887,A,1,H,3,94.5,3.945,175,                  
145,887,A,1,H,3,99.6,3.996,127,                  
145,887,A,1,H,3,104.5,4.045,78,                  
145,887,A,1,H,3,109.6,4.096,51,                  
145,887,A,1,H,3,114.5,4.145,59,                  
145,887,A,1,H,3,119.5,4.195,96,                  
145,887,A,1,H,3,124.5,4.245,125,                  
145,887,A,1,H,3,129.6,4.296,122,                  
145,887,A,1,H,3,134.6,4.346,104,                  
145,887,A,1,H,3,139.5,4.395,101,                  
145,887,A,1,H,3,144.5,4.445,99,                  
145,887,A,1,H,3,149.5,4.495,101,                  
145,887,A,1,H,4,4.5,4.545,102,                  
145,887,A,1,H,4,9.6,4.596,104,                  
145,887,A,1,H,4,14.5,4.645,112,                  
145,887,A,1,H,4,19.5,4.695,108,                  
145,887,A,1,H,4,24.6,4.746,108,                  
145,887,A,1,H,4,29.5,4.795,114,                  
145,887,A,1,H,4,34.5,4.845,125,                  
145,887,A,1,H,4,39.5,4.895,116,                  
145,887,A,1,H,4,44.6,4.946,111,                  
145,887,A,1,H,4,49.6,4.996,96,                  
145,887,A,1,H,4,54.7,5.047,52,                  
145,887,A,1,H,4,59.5,5.095,21,                  
145,887,A,1,H,4,64.5,5.145,12,                  
145,887,A,1,H,4,69.5,5.195,15,                  
145,887,A,1,H,4,74.6,5.246,9,                  
145,887,A,1,H,4,79.5,5.295,8,                  
145,887,A,1,H,4,84.6,5.346,9,                  
145,887,A,1,H,4,89.5,5.395,7,                  
145,887,A,1,H,4,94.6,5.446,7,                  
145,887,A,1,H,4,99.5,5.495,8,                  
145,887,A,1,H,4,104.5,5.545,8,                  
145,887,A,1,H,4,109.5,5.595,8,                  
145,887,A,1,H,4,114.5,5.645,9,                  
145,887,A,1,H,4,119.6,5.696,9,                  
145,887,A,1,H,4,124.5,5.745,11,                  
145,887,A,1,H,4,129.7,5.797,13,                  
145,887,A,1,H,4,134.5,5.845,26,                  
145,887,A,1,H,4,139.5,5.895,57,                  
145,887,A,1,H,4,144.6,5.946,117,                  
145,887,A,1,H,4,149.5,5.995,70,                  
145,887,A,1,H,5,4.5,6.045,108,                  
145,887,A,1,H,5,9.5,6.095,118,                  
145,887,A,1,H,5,14.5,6.145,105,                  
145,887,A,1,H,5,19.5,6.195,53,                  
145,887,A,1,H,5,24.6,6.246,27,                  
145,887,A,1,H,5,29.5,6.295,23,                  
145,887,A,1,H,5,34.5,6.345,24,                  
145,887,A,1,H,5,39.5,6.395,18,                  
145,887,A,2,H,1,24.6,6.946,56,                  
145,887,A,2,H,1,29.5,6.995,23,                  
145,887,A,2,H,1,34.7,7.047,12,                  
145,887,A,2,H,1,39.5,7.095,11,                  
145,887,A,2,H,1,44.5,7.145,10,                  
145,887,A,2,H,1,49.5,7.195,8,                  
145,887,A,2,H,1,54.5,7.245,8,                  
145,887,A,2,H,1,59.5,7.295,9,                  
145,887,A,2,H,1,64.5,7.345,11,                  
145,887,A,2,H,1,69.5,7.395,9,                  
145,887,A,2,H,1,74.5,7.445,10,                  
145,887,A,2,H,1,79.5,7.495,9,                  
145,887,A,2,H,1,84.6,7.546,8,                  
145,887,A,2,H,1,89.5,7.595,8,                  
145,887,A,2,H,1,94.5,7.645,11,                  
145,887,A,2,H,1,99.5,7.695,12,                  
145,887,A,2,H,1,104.5,7.745,11,                  
145,887,A,2,H,1,109.6,7.796,12,                  
145,887,A,2,H,1,114.6,7.846,14,                  
145,887,A,2,H,1,119.5,7.895,46,                  
145,887,A,2,H,1,124.5,7.945,113,                  
145,887,A,2,H,1,129.5,7.995,170,                  
145,887,A,2,H,1,134.5,8.045,234,                  
145,887,A,2,H,1,139.5,8.095,203,                  
145,887,A,2,H,1,144.5,8.145,138,                  
145,887,A,2,H,1,149.5,8.195,92,                  
145,887,A,2,H,2,4.5,8.245,107,                  
145,887,A,2,H,2,9.5,8.295,89,                  
145,887,A,2,H,2,14.5,8.345,90,                  
145,887,A,2,H,2,19.5,8.395,102,                  
145,887,A,2,H,2,24.5,8.445,105,                  
145,887,A,2,H,2,29.6,8.496,128,                  
145,887,A,2,H,2,34.5,8.545,209,                  
145,887,A,2,H,2,39.5,8.595,201,                  
