Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Density (g/cc)
145,887,B,1,H,1,2.3,0.023,1.416
145,887,B,1,H,1,5,0.05,1.431
145,887,B,1,H,1,5.3,0.053,1.468
145,887,B,1,H,1,7.4,0.074,1.474
145,887,B,1,H,1,10,0.1,1.514
145,887,B,1,H,1,12.3,0.123,1.446
145,887,B,1,H,1,15,0.15,1.447
145,887,B,1,H,1,16.9,0.169,1.54
145,887,B,1,H,1,19.4,0.194,1.558
145,887,B,1,H,1,20,0.2,1.561
145,887,B,1,H,1,21.9,0.219,1.459
145,887,B,1,H,1,24,0.24,1.467
145,887,B,1,H,1,25,0.25,1.465
145,887,B,1,H,1,26.5,0.265,1.428
145,887,B,1,H,1,28.9,0.289,1.359
145,887,B,1,H,1,30,0.3,1.462
145,887,B,1,H,1,31.2,0.312,1.507
145,887,B,1,H,1,33.4,0.334,1.525
145,887,B,1,H,1,34.9,0.349,1.517
145,887,B,1,H,1,35.7,0.357,1.526
145,887,B,1,H,1,38.3,0.383,1.445
145,887,B,1,H,1,40,0.4,1.493
145,887,B,1,H,1,42.5,0.425,1.508
145,887,B,1,H,1,45,0.45,1.509
145,887,B,1,H,1,47,0.47,1.419
145,887,B,1,H,1,50,0.5,1.493
145,887,B,1,H,1,52,0.52,1.377
145,887,B,1,H,1,54.3,0.543,1.37
145,887,B,1,H,1,55,0.55,1.384
145,887,B,1,H,1,56.7,0.567,1.351
145,887,B,1,H,1,59.1,0.591,1.328
145,887,B,1,H,1,60,0.6,1.365
145,887,B,1,H,1,61.2,0.612,1.316
145,887,B,1,H,1,63.3,0.633,1.327
145,887,B,1,H,1,65,0.65,1.334
145,887,B,1,H,1,65.9,0.659,1.286
145,887,B,1,H,1,68.2,0.682,1.332
145,887,B,1,H,1,70,0.7,1.354
145,887,B,1,H,1,70.7,0.707,1.323
145,887,B,1,H,1,73,0.73,1.452
145,887,B,1,H,1,75,0.75,1.377
145,887,B,1,H,1,75.2,0.752,1.31
145,887,B,1,H,1,77.8,0.778,1.425
145,887,B,1,H,1,80,0.8,1.44
145,887,B,1,H,1,82.3,0.823,1.458
145,887,B,1,H,1,85,0.85,1.487
145,887,B,1,H,1,87.1,0.871,1.521
145,887,B,1,H,1,89.2,0.892,1.509
145,887,B,1,H,1,90,0.9,1.52
145,887,B,1,H,1,90.3,0.903,1.565
145,887,B,1,H,1,92.5,0.925,1.52
145,887,B,1,H,1,94.9,0.949,1.521
145,887,B,1,H,1,97.2,0.972,1.462
145,887,B,1,H,1,100,1,1.482
145,887,B,1,H,1,101.9,1.019,1.476
145,887,B,1,H,1,104.3,1.043,1.505
145,887,B,1,H,1,105,1.05,1.495
145,887,B,1,H,1,106.6,1.066,1.446
145,887,B,1,H,1,108.9,1.089,1.406
145,887,B,1,H,1,110,1.1,1.533
145,887,B,1,H,1,111.3,1.113,1.431
145,887,B,1,H,1,113.7,1.137,1.49
145,887,B,1,H,1,115.9,1.159,1.456
145,887,B,1,H,1,118.3,1.183,1.471
145,887,B,1,H,1,120.5,1.205,1.535
145,887,B,1,H,1,123.1,1.231,1.484
145,887,B,1,H,1,125.3,1.253,1.534
145,887,B,1,H,1,127.7,1.277,1.571
145,887,B,1,H,1,130,1.3,1.486
145,887,B,1,H,1,132.3,1.323,1.449
145,887,B,1,H,1,134.6,1.346,1.519
145,887,B,1,H,1,137,1.37,1.578
145,887,B,1,H,1,139.2,1.392,1.835
145,887,B,1,H,1,141.7,1.417,1.68
145,887,B,1,H,1,144,1.44,1.616
145,887,B,1,H,1,146.2,1.462,1.707
145,887,B,1,H,2,1.9,1.519,1.307
145,887,B,1,H,2,4.7,1.547,1.698
145,887,B,1,H,2,7.1,1.571,1.668
145,887,B,1,H,2,9.3,1.593,1.823
145,887,B,1,H,2,11.9,1.619,1.778
145,887,B,1,H,2,14,1.64,1.586
145,887,B,1,H,2,16.5,1.665,1.455
145,887,B,1,H,2,18.7,1.687,1.519
145,887,B,1,H,2,21.1,1.711,1.476
145,887,B,1,H,2,23.4,1.734,1.528
145,887,B,1,H,2,25.9,1.759,1.507
145,887,B,1,H,2,27.9,1.779,1.612
145,887,B,1,H,2,30.5,1.805,1.569
145,887,B,1,H,2,32.8,1.828,1.645
145,887,B,1,H,2,35.2,1.852,1.67
145,887,B,2,H,1,2.2,2.022,1.412
145,887,B,2,H,1,5,2.05,1.509
145,887,B,2,H,1,7.3,2.073,1.521
145,887,B,2,H,1,10,2.1,1.405
145,887,B,2,H,1,12.2,2.122,1.344
145,887,B,2,H,1,14.4,2.144,1.537
145,887,B,2,H,1,15,2.15,1.581
145,887,B,2,H,1,16.7,2.167,1.422
145,887,B,2,H,1,19.2,2.192,1.471
145,887,B,2,H,1,19.9,2.199,1.517
145,887,B,2,H,1,21.7,2.217,1.502
145,887,B,2,H,1,23.9,2.239,1.49
145,887,B,2,H,1,25,2.25,1.458
145,887,B,2,H,1,26.3,2.263,1.447
145,887,B,2,H,1,28.8,2.288,1.518
145,887,B,2,H,1,30,2.3,1.464
145,887,B,2,H,1,31.3,2.313,1.464
145,887,B,2,H,1,33.4,2.334,1.513
145,887,B,2,H,1,35,2.35,1.467
145,887,B,2,H,1,35.8,2.358,1.444
145,887,B,2,H,1,38.1,2.381,1.498
145,887,B,2,H,1,40,2.4,1.455
145,887,B,2,H,1,40.7,2.407,1.418
145,887,B,2,H,1,42.8,2.428,1.354
145,887,B,2,H,1,45,2.45,1.359
145,887,B,2,H,1,45.3,2.453,1.361
145,887,B,2,H,1,47.9,2.479,1.594
145,887,B,2,H,1,50,2.5,1.502
145,887,B,2,H,1,50.2,2.502,1.521
145,887,B,2,H,1,52.4,2.524,1.456
145,887,B,2,H,1,55,2.55,1.502
145,887,B,2,H,1,57.4,2.574,1.583
145,887,B,2,H,1,59.4,2.594,1.647
145,887,B,2,H,1,60,2.6,1.546
145,887,B,2,H,1,62.1,2.621,1.581
145,887,B,2,H,1,65,2.65,1.554
145,887,B,2,H,1,66.9,2.669,1.62
145,887,B,2,H,1,69.3,2.693,1.611
145,887,B,2,H,1,70,2.7,1.655
145,887,B,2,H,1,71.6,2.716,1.553
145,887,B,2,H,1,73.8,2.738,1.645
145,887,B,2,H,1,75,2.75,1.632
145,887,B,2,H,1,76.3,2.763,1.623
145,887,B,2,H,1,78.7,2.787,1.634
145,887,B,2,H,1,80,2.8,1.617
145,887,B,2,H,1,80.5,2.805,1.588
145,887,B,2,H,1,82.7,2.827,1.587
145,887,B,2,H,1,84.9,2.849,1.685
145,887,B,2,H,1,85,2.85,1.648
145,887,B,2,H,1,87.4,2.874,1.67
145,887,B,2,H,1,90,2.9,1.667
145,887,B,2,H,1,91.9,2.919,1.623
145,887,B,2,H,1,95,2.95,1.381
145,887,B,2,H,1,96.6,2.966,1.304
145,887,B,2,H,1,98.8,2.988,1.355
145,887,B,2,H,1,100,3,1.296
145,887,B,2,H,1,101.2,3.012,1.271
145,887,B,2,H,1,103.6,3.036,1.237
145,887,B,2,H,1,105,3.05,1.195
145,887,B,2,H,1,106,3.06,1.231
145,887,B,2,H,1,108.4,3.084,1.174
145,887,B,2,H,1,109.9,3.099,1.215
145,887,B,2,H,1,110.4,3.104,1.217
145,887,B,2,H,1,112.9,3.129,1.223
145,887,B,2,H,1,115.3,3.153,1.246
145,887,B,2,H,1,117.5,3.175,1.227
145,887,B,2,H,1,119.8,3.198,1.272
145,887,B,2,H,1,122.2,3.222,1.144
145,887,B,2,H,1,124.5,3.245,1.294
145,887,B,2,H,1,127,3.27,1.259
145,887,B,2,H,1,129.2,3.292,1.197
145,887,B,2,H,1,131.6,3.316,1.269
145,887,B,2,H,1,133.9,3.339,1.221
145,887,B,2,H,1,136.2,3.362,1.128
145,887,B,2,H,1,138.5,3.385,1.213
145,887,B,2,H,1,140.9,3.409,1.214
145,887,B,2,H,1,143.3,3.433,1.208
145,887,B,2,H,1,145.7,3.457,1.209
145,887,B,2,H,2,2.3,3.523,1.138
145,887,B,2,H,2,5,3.55,1.203
145,887,B,2,H,2,5.2,3.552,1.194
145,887,B,2,H,2,7.4,3.574,1.275
145,887,B,2,H,2,10,3.6,1.261
145,887,B,2,H,2,12.3,3.623,1.274
145,887,B,2,H,2,14.4,3.644,1.189
145,887,B,2,H,2,15,3.65,1.277
145,887,B,2,H,2,16.8,3.668,1.337
145,887,B,2,H,2,19.4,3.694,1.486
145,887,B,2,H,2,20,3.7,1.414
145,887,B,2,H,2,21.8,3.718,1.362
145,887,B,2,H,2,24,3.74,1.417
145,887,B,2,H,2,25,3.75,1.398
145,887,B,2,H,2,26.3,3.763,1.719
145,887,B,2,H,2,28.7,3.787,1.416
145,887,B,2,H,2,30,3.8,1.394
145,887,B,2,H,2,31.3,3.813,1.547
145,887,B,2,H,2,33.5,3.835,1.663
145,887,B,2,H,2,35,3.85,1.695
145,887,B,2,H,2,35.7,3.857,1.651
145,887,B,2,H,2,38.2,3.882,1.79
145,887,B,2,H,2,40,3.9,1.803
145,887,B,2,H,2,40.7,3.907,1.573
145,887,B,2,H,2,42.9,3.929,1.56
145,887,B,2,H,2,45,3.95,1.612
145,887,B,2,H,2,45.4,3.954,1.515
145,887,B,2,H,2,47.5,3.975,1.374
145,887,B,2,H,2,50,4,1.366
145,887,B,2,H,2,52.2,4.022,1.304
145,887,B,2,H,2,55,4.05,1.254
145,887,B,2,H,2,57.1,4.071,1.246
145,887,B,2,H,2,59.4,4.094,1.255
145,887,B,2,H,2,59.9,4.099,1.265
145,887,B,2,H,2,61.6,4.116,1.248
145,887,B,2,H,2,65,4.15,1.263
145,887,B,2,H,2,66.5,4.165,1.198
145,887,B,2,H,2,68.7,4.187,1.214
145,887,B,2,H,2,70,4.2,1.269
145,887,B,2,H,2,71.3,4.213,1.232
145,887,B,2,H,2,73.5,4.235,1.279
145,887,B,2,H,2,75,4.25,1.196
145,887,B,2,H,2,75.9,4.259,1.249
145,887,B,2,H,2,78.2,4.282,1.223
145,887,B,2,H,2,80,4.3,1.174
145,887,B,2,H,2,80.7,4.307,1.246
145,887,B,2,H,2,82.9,4.329,1.164
145,887,B,2,H,2,85,4.35,1.244
