Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.
145,887,B,1,H,1,4.6,0.046,83,                  
145,887,B,1,H,1,9.7,0.097,98,                  
145,887,B,1,H,1,14.6,0.146,113,                  
145,887,B,1,H,1,19.5,0.195,133,                  
145,887,B,1,H,1,24.5,0.245,96,                  
145,887,B,1,H,1,29.5,0.295,97,                  
145,887,B,1,H,1,34.6,0.346,109,                  
145,887,B,1,H,1,39.5,0.395,146,                  
145,887,B,1,H,1,44.5,0.445,92,                  
145,887,B,1,H,1,49.6,0.496,53,                  
145,887,B,1,H,1,54.6,0.546,27,                  
145,887,B,1,H,1,59.6,0.596,22,                  
145,887,B,1,H,1,64.5,0.645,20,                  
145,887,B,1,H,1,69.6,0.696,26,                  
145,887,B,1,H,1,74.6,0.746,35,                  
145,887,B,1,H,1,79.5,0.795,47,                  
145,887,B,1,H,1,84.6,0.846,60,                  
145,887,B,1,H,1,89.6,0.896,62,                  
145,887,B,1,H,1,94.5,0.945,58,                  
145,887,B,1,H,1,99.5,0.995,53,                  
145,887,B,1,H,1,104.6,1.046,55,                  
145,887,B,1,H,1,109.5,1.095,58,                  
145,887,B,1,H,1,114.5,1.145,60,                  
145,887,B,1,H,1,119.5,1.195,65,                  
145,887,B,1,H,1,124.5,1.245,73,                  
145,887,B,1,H,1,129.5,1.295,76,                  
145,887,B,1,H,1,134.7,1.347,123,                  
145,887,B,1,H,1,139.5,1.395,186,                  
145,887,B,1,H,1,144.6,1.446,127,                  
145,887,B,1,H,1,149.5,1.495,99,                  
145,887,B,1,H,2,4.5,1.545,129,                  
145,887,B,1,H,2,9.5,1.595,125,                  
145,887,B,1,H,2,14.5,1.645,103,                  
145,887,B,1,H,2,19.6,1.696,91,                  
145,887,B,1,H,2,24.5,1.745,89,                  
145,887,B,1,H,2,29.5,1.795,110,                  
145,887,B,1,H,2,34.5,1.845,111,                  
145,887,B,2,H,1,4.5,2.045,41,                  
145,887,B,2,H,1,9.6,2.096,41,                  
145,887,B,2,H,1,14.6,2.146,69,                  
145,887,B,2,H,1,19.5,2.195,68,                  
145,887,B,2,H,1,24.6,2.246,73,                  
145,887,B,2,H,1,29.5,2.295,73,                  
145,887,B,2,H,1,34.7,2.347,67,                  
145,887,B,2,H,1,39.5,2.395,59,                  
145,887,B,2,H,1,44.6,2.446,40,                  
145,887,B,2,H,1,49.5,2.495,89,                  
145,887,B,2,H,1,54.7,2.547,113,                  
145,887,B,2,H,1,59.5,2.595,102,                  
145,887,B,2,H,1,64.5,2.645,100,                  
145,887,B,2,H,1,69.5,2.695,104,                  
145,887,B,2,H,1,74.5,2.745,101,                  
145,887,B,2,H,1,79.6,2.796,105,                  
145,887,B,2,H,1,84.5,2.845,124,                  
145,887,B,2,H,1,89.5,2.895,111,                  
145,887,B,2,H,1,94.6,2.946,79,                  
145,887,B,2,H,1,99.5,2.995,33,                  
145,887,B,2,H,1,104.6,3.046,13,                  
145,887,B,2,H,1,109.5,3.095,10,                  
145,887,B,2,H,1,114.7,3.147,9,                  
145,887,B,2,H,1,119.6,3.196,6,                  
145,887,B,2,H,1,124.5,3.245,6,                  
145,887,B,2,H,1,129.6,3.296,5,                  
145,887,B,2,H,1,134.6,3.346,5,                  
145,887,B,2,H,1,139.5,3.395,5,                  
145,887,B,2,H,1,144.5,3.445,5,                  
145,887,B,2,H,1,149.6,3.496,6,                  
145,887,B,2,H,2,4.5,3.545,5,                  
145,887,B,2,H,2,9.5,3.595,7,                  
145,887,B,2,H,2,14.5,3.645,15,                  
145,887,B,2,H,2,19.5,3.695,38,                  
145,887,B,2,H,2,24.5,3.745,125,                  
145,887,B,2,H,2,29.5,3.795,78,                  
145,887,B,2,H,2,34.5,3.845,101,                  
145,887,B,2,H,2,39.6,3.896,86,                  
145,887,B,2,H,2,44.5,3.945,68,                  
145,887,B,2,H,2,49.5,3.995,28,                  
