Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.
145,887,C,1,H,1,4.6,0.046,69,                  
145,887,C,1,H,1,9.6,0.096,96,                  
145,887,C,1,H,1,14.5,0.145,104,                  
145,887,C,1,H,1,19.5,0.195,109,                  
145,887,C,1,H,1,24.7,0.247,95,                  
145,887,C,1,H,1,29.5,0.295,103,                  
145,887,C,1,H,1,34.6,0.346,128,                  
145,887,C,1,H,1,39.5,0.395,165,                  
145,887,C,1,H,1,44.5,0.445,107,                  
145,887,C,1,H,1,49.6,0.496,51,                  
145,887,C,1,H,1,54.5,0.545,30,                  
145,887,C,1,H,1,59.6,0.596,31,                  
145,887,C,1,H,1,64.5,0.645,23,                  
145,887,C,1,H,1,69.5,0.695,29,                  
145,887,C,1,H,1,74.5,0.745,42,                  
145,887,C,1,H,1,79.5,0.795,57,                  
145,887,C,1,H,1,84.5,0.845,64,                  
145,887,C,1,H,1,89.5,0.895,68,                  
145,887,C,1,H,1,94.5,0.945,71,                  
145,887,C,1,H,1,99.5,0.995,56,                  
145,887,C,1,H,1,104.5,1.045,55,                  
145,887,C,1,H,1,109.5,1.095,60,                  
145,887,C,1,H,1,114.5,1.145,66,                  
145,887,C,1,H,1,119.5,1.195,71,                  
145,887,C,1,H,1,124.5,1.245,78,                  
145,887,C,1,H,1,129.5,1.295,83,                  
145,887,C,1,H,1,134.5,1.345,176,                  
145,887,C,1,H,1,139.5,1.395,131,                  
145,887,C,1,H,1,144.5,1.445,122,                  
145,887,C,1,H,1,149.5,1.495,97,                  
145,887,C,1,H,2,4.6,1.546,116,                  
145,887,C,1,H,2,9.5,1.595,104,                  
145,887,C,1,H,2,14.5,1.645,96,                  
145,887,C,1,H,2,19.6,1.696,103,                  
145,887,C,1,H,2,24.5,1.745,115,                  
145,887,C,1,H,2,29.5,1.795,122,                  
145,887,C,1,H,2,34.5,1.845,115,                  
145,887,C,1,H,2,39.5,1.895,121,                  
145,887,C,1,H,2,44.6,1.946,101,                  
145,887,C,1,H,2,49.5,1.995,127,                  
145,887,C,1,H,2,54.5,2.045,186,                  
145,887,C,1,H,2,59.5,2.095,205,                  
145,887,C,1,H,2,64.5,2.145,132,                  
145,887,C,1,H,2,69.5,2.195,138,                  
145,887,C,1,H,2,74.6,2.246,102,                  
145,887,C,1,H,2,79.6,2.296,68,                  
145,887,C,1,H,2,84.5,2.345,85,                  
145,887,C,1,H,2,89.6,2.396,128,                  
145,887,C,1,H,2,94.5,2.445,174,                  
145,887,C,1,H,2,99.5,2.495,225,                  
145,887,C,1,H,2,104.6,2.546,190,                  
145,887,C,1,H,2,109.6,2.596,137,                  
145,887,C,1,H,2,114.6,2.646,96,                  
145,887,C,1,H,2,119.7,2.697,112,                  
145,887,C,1,H,2,124.5,2.745,153,                  
145,887,C,1,H,2,129.7,2.797,172,                  
145,887,C,1,H,2,134.6,2.846,44,                  
145,887,C,1,H,2,139.5,2.895,27,                  
145,887,C,1,H,2,144.5,2.945,18,                  
145,887,C,1,H,2,149.5,2.995,14,                  
145,887,C,1,H,3,4.6,3.046,21,                  
145,887,C,1,H,3,9.6,3.096,47,                  
145,887,C,1,H,3,14.5,3.145,121,                  
145,887,C,1,H,3,19.5,3.195,145,                  
145,887,C,1,H,3,24.6,3.246,112,                  
145,887,C,1,H,3,29.6,3.296,103,                  
145,887,C,1,H,3,34.6,3.346,77,                  
145,887,C,1,H,3,39.6,3.396,51,                  
145,887,C,1,H,3,44.5,3.445,34,                  
145,887,C,1,H,3,49.5,3.495,31,                  
145,887,C,1,H,3,54.6,3.546,40,                  
