Site,Hole,Core,Sc,Top (cm),Bot (cm),Depth (mbsf),Org C (wt %),CaCO3 (wt %)
887,A,1H,1,30,32,0.3,0.28,3.1
887,A,1H,1,72,73,0.72,0.58,41.5
887,A,1H,1,80,82,0.8,0.31,0
887,A,1H,1,130,132,1.3,0.41,0
887,A,1H,2,30,32,1.8,0.23,0
887,A,1H,2,76,77,2.26,0.33,3.7
887,A,1H,2,80,82,2.3,0.07,3.4
887,A,1H,2,130,132,2.8,0.49,3.3
887,A,1H,3,30,32,3.3,0.25,0
887,A,1H,3,41,42,3.41,0.35,2.3
887,A,1H,3,80,82,3.8,0.5,5
887,A,1H,3,130,132,4.3,0.15,0
887,A,1H,4,30,32,4.8,0.13,0
887,A,1H,4,73,74,5.23,0.36,6.7
887,A,1H,4,80,82,5.3,0.43,0
887,A,1H,4,130,132,5.8,0.19,0
887,A,1H,5,32,33,6.3,0.6,0
887,A,2H,1,31,33,7.01,0.21,0
887,A,2H,1,72,73,7.42,0.34,6.6
887,A,2H,1,80,82,7.5,0.38,0
887,A,2H,1,130,132,8,0.25,0
887,A,2H,2,31,33,8.51,0.13,0
887,A,2H,2,80,82,9,0.33,0
887,A,2H,2,130,132,9.5,0.25,0
887,A,2H,3,31,33,10.01,0.13,0
887,A,2H,3,72,73,10.42,0.35,3.2
887,A,2H,3,80,82,10.5,0.08,0
887,A,2H,3,130,132,11,0.13,0
887,A,2H,4,31,33,11.51,0.74,0
887,A,2H,4,81,83,12.01,0.65,0.7
887,A,2H,4,130,132,12.5,0.23,0
887,A,2H,5,31,33,13.01,0.13,0
887,A,2H,5,76,77,13.46,0.44,0.6
887,A,2H,5,81,83,13.51,0.18,0
887,A,2H,5,130,132,14,0.13,0
887,A,2H,6,31,33,14.51,0.46,0
887,A,2H,6,80,82,15,0.13,0
887,A,2H,6,130,132,15.5,0.01,1.9
