Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,A,1,H,1,3.15,0.032,20.089,3.907899868,11.35424693
145,887,A,1,H,1,3.21,0.032,20.462,4.026958855,11.45605176
145,887,A,1,H,1,3.27,0.033,20.941,4.144021244,11.58385997
145,887,A,1,H,1,3.33,0.033,21.434,4.260087033,11.72367158
145,887,A,1,H,1,3.39,0.034,21.919,4.386156224,11.87148656
145,887,A,1,H,1,3.44,0.034,22.303,4.515883148,12.02000164
145,887,A,1,H,1,3.5,0.035,22.784,4.641958575,12.15182283
145,887,A,1,H,1,3.56,0.036,23.381,4.758037404,12.26764741
145,887,A,1,H,1,3.62,0.036,23.867,4.858119633,12.37747538
145,887,A,1,H,1,3.74,0.037,24.15,5.002294297,12.55614147
145,887,A,1,H,1,3.68,0.037,24.203,4.939205264,12.47930673
145,887,A,1,H,1,3.8,0.038,24.326,5.04238673,12.5709796
145,887,A,1,H,1,3.85,0.039,24.438,5.070133024,12.60251396
145,887,A,1,H,1,3.91,0.039,24.478,5.064231693,12.61435829
145,887,A,1,H,1,3.97,0.04,24.604,5.023333764,12.57920601
145,887,A,1,H,1,4.03,0.04,24.777,4.949439237,12.51205711
145,887,A,1,H,1,4.09,0.041,24.925,4.95054811,12.5249116
145,887,A,1,H,1,4.15,0.041,25.087,4.955660386,12.54576948
145,887,A,1,H,1,4.2,0.042,25.177,4.955423213,12.5753203
145,887,A,1,H,1,4.26,0.043,25.112,4.951541724,12.59118438
145,887,A,1,H,1,4.32,0.043,25.133,4.948663637,12.59605185
145,887,A,1,H,1,4.38,0.044,25.276,4.93978895,12.59592271
145,887,A,1,H,1,4.44,0.044,25.489,4.924917666,12.57679695
145,887,A,1,H,1,4.5,0.045,25.556,4.918049782,12.55467458
145,887,A,1,H,1,4.55,0.046,25.611,4.910829144,12.55024186
145,887,A,1,H,1,4.61,0.046,25.793,4.899967497,12.5411257
145,887,A,1,H,1,4.67,0.047,25.881,4.89010925,12.53201292
145,887,A,1,H,1,4.73,0.047,26.078,4.878254406,12.52190353
145,887,A,1,H,1,4.79,0.048,26.293,4.866402962,12.50879752
145,887,A,1,H,1,4.85,0.048,26.431,4.85455492,12.4926949
145,887,A,1,H,1,4.9,0.049,26.626,4.840350817,12.47027864
145,887,A,1,H,1,4.96,0.05,26.907,4.82150901,12.44718223
145,887,A,1,H,1,5.02,0.05,27.086,4.810670606,12.43508921
145,887,A,1,H,1,5.08,0.051,27.188,4.801835602,12.42399957
145,887,A,1,H,1,5.14,0.051,27.273,4.792004,12.41291331
145,887,A,1,H,1,5.2,0.052,27.329,4.787175799,12.40383045
145,887,A,1,H,1,5.25,0.053,27.405,4.78298823,12.39443064
145,887,A,1,H,1,5.31,0.053,27.47,4.774166265,12.38335398
145,887,A,1,H,1,5.37,0.054,27.604,4.762347702,12.36928071
145,887,A,1,H,1,5.43,0.054,27.636,4.75153254,12.36421082
145,887,A,1,H,1,5.49,0.055,27.648,4.744720779,12.35714432
145,887,A,1,H,1,5.55,0.055,27.712,4.73391242,12.34908121
145,887,A,1,H,1,5.61,0.056,27.705,4.730107462,12.34702148
145,887,A,1,H,1,5.72,0.057,27.593,4.72614054,12.34558744
145,887,A,1,H,1,5.66,0.057,27.674,4.726939262,12.34564096
145,887,A,1,H,1,5.84,0.058,27.399,4.7265533,12.34749055
145,887,A,1,H,1,5.78,0.058,27.482,4.726345219,12.3485373
