Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,B,1,H,1,1.45,0.015,26.029,3.019063886,5.418090894
145,887,B,1,H,1,1.51,0.015,25.853,3.324670263,5.648402921
145,887,B,1,H,1,1.57,0.016,25.769,3.575275972,5.87170928
145,887,B,1,H,1,1.63,0.016,25.768,3.775881016,6.08600997
145,887,B,1,H,1,1.68,0.017,25.841,3.931384709,6.290256215
145,887,B,1,H,1,1.74,0.017,25.979,4.046988529,6.483546512
145,887,B,1,H,1,1.8,0.018,26.175,4.126591683,6.663831142
145,887,B,1,H,1,1.86,0.019,26.42,4.17519417,6.829110102
145,887,B,1,H,1,1.92,0.019,26.705,4.19779599,6.979383394
145,887,B,1,H,1,1.98,0.02,27.022,4.199397144,7.110651017
145,887,B,1,H,1,2.03,0.02,27.362,4.184897596,7.221869706
145,887,B,1,H,1,2.09,0.021,27.717,4.157497527,7.314126937
145,887,B,1,H,1,2.15,0.021,28.078,4.123096791,7.3833785
145,887,B,1,H,1,2.21,0.022,28.335,4.098695388,7.413624394
145,887,B,1,H,1,2.27,0.023,28.672,4.071293319,7.407864619
145,887,B,1,H,1,2.32,0.023,28.839,4.089791085,7.394060476
145,887,B,1,H,1,2.38,0.024,29.161,4.120387793,7.317290309
145,887,B,1,H,1,2.44,0.024,29.661,4.160983835,7.175514473
145,887,B,1,H,1,2.5,0.025,29.993,4.176579209,7.032732969
145,887,B,1,H,1,2.56,0.026,30.158,4.216173917,6.950945796
145,887,B,1,H,1,2.61,0.026,30.182,4.277668997,6.862118822
145,887,B,1,H,1,2.67,0.027,30.097,4.344262483,6.763321256
145,887,B,1,H,1,2.73,0.027,30.11,4.414855301,6.655518023
145,887,B,1,H,1,2.79,0.028,30.239,4.492447453,6.55670912
145,887,B,1,H,1,2.85,0.028,30.29,4.562038938,6.443894549
145,887,B,1,H,1,2.9,0.029,30.389,4.624531333,6.317044743
145,887,B,1,H,1,2.96,0.03,30.664,4.714121595,6.15421978
145,887,B,1,H,1,3.02,0.03,30.916,4.785711191,6.020389148
145,887,B,1,H,1,3.08,0.031,31.212,4.83330012,5.900552847
145,887,B,1,H,1,3.14,0.031,31.553,4.849888382,5.804710878
145,887,B,1,H,1,3.2,0.032,31.903,4.841475977,5.72486324
145,887,B,1,H,1,3.25,0.033,32.408,4.794965131,5.660985878
145,887,B,1,H,1,3.31,0.033,32.911,4.729551504,5.634127848
145,887,B,1,H,1,3.37,0.034,33.248,4.65713721,5.63126415
145,887,B,1,H,1,3.43,0.034,33.724,4.629722249,5.585394782
145,887,B,1,H,1,3.49,0.035,34.032,4.631306622,5.517519746
145,887,B,1,H,1,3.54,0.035,34.183,4.608793089,5.482619553
145,887,B,1,H,1,3.6,0.036,34.313,4.583376239,5.484734125
145,887,B,1,H,1,3.66,0.037,34.568,4.548958723,5.525843028
145,887,B,1,H,1,3.72,0.037,34.824,4.504540539,5.592946263
145,887,B,1,H,1,3.78,0.038,34.95,4.455121689,5.688043829
145,887,B,1,H,1,3.83,0.038,34.94,4.391605471,5.809120803
145,887,B,1,H,1,3.89,0.039,34.671,4.322185398,5.966207977
145,887,B,1,H,1,3.95,0.04,34.41,4.285764658,6.088289482
145,887,B,1,H,1,4.01,0.04,34.006,4.259343252,6.239365319
145,887,B,1,H,1,4.07,0.041,33.575,4.228921179,6.390435486
145,887,B,1,H,1,4.12,0.041,33.211,4.207402275,6.54348963
145,887,B,1,H,1,4.18,0.042,32.85,4.190978979,6.690549405
145,887,B,1,H,1,4.24,0.042,32.445,4.171555017,6.805603512
145,887,B,1,H,1,4.3,0.043,32.223,4.160130388,6.90565195
145,887,B,1,H,1,4.36,0.044,31.971,4.162705092,6.99569472
145,887,B,1,H,1,4.42,0.044,31.715,4.125279129,7.114731821
145,887,B,1,H,1,4.47,0.045,31.469,4.077756984,7.213758409
145,887,B,1,H,1,4.53,0.045,31.376,4.028329799,7.294785118
145,887,B,1,H,1,4.59,0.046,31.334,3.981901947,7.351806158
145,887,B,1,H,1,4.65,0.046,31.362,3.941473428,7.38682153
145,887,B,1,H,1,4.71,0.047,31.278,3.931044242,7.402831233
145,887,B,1,H,1,4.76,0.048,31.048,3.955519412,7.387834988
145,887,B,1,H,1,4.82,0.048,31.001,4.003089004,7.338834299
145,887,B,1,H,1,4.88,0.049,31.128,3.998657929,7.343827941
145,887,B,1,H,1,4.94,0.049,31.157,3.994226187,7.347815915
145,887,B,1,H,1,5,0.05,31.203,3.991793779,7.35479822
145,887,B,1,H,1,5.05,0.051,31.175,3.989266262,7.358779144
145,887,B,1,H,1,5.11,0.051,31.189,3.984832631,7.363751056
145,887,B,1,H,1,5.17,0.052,31.21,3.981398334,7.3677173
145,887,B,1,H,1,5.23,0.052,31.172,3.981963369,7.376677876
145,887,B,1,H,1,5.29,0.053,31.085,3.983527738,7.388632782
145,887,B,1,H,1,5.34,0.053,31.088,3.980997536,7.395590875
145,887,B,1,H,1,5.4,0.054,31.094,3.980560682,7.402535389
145,887,B,1,H,1,5.46,0.055,31.007,3.982123161,7.413474235
145,887,B,1,H,1,5.52,0.055,30.956,3.982684974,7.421407412
145,887,B,1,H,1,5.58,0.056,30.947,3.98224612,7.429334921
145,887,B,1,H,1,5.64,0.056,30.903,3.983806599,7.439256761
145,887,B,1,H,1,5.69,0.057,30.911,3.982273156,7.444187298
145,887,B,1,H,1,5.75,0.058,30.788,3.986832412,7.454098746
145,887,B,1,H,1,5.81,0.058,30.729,3.987391002,7.463004525
145,887,B,1,H,1,5.87,0.059,30.635,3.988948925,7.471904635
145,887,B,1,H,1,5.93,0.059,30.562,3.994506181,7.481799077
145,887,B,1,H,1,5.98,0.06,30.466,3.995970052,7.490706782
145,887,B,1,H,1,6.04,0.06,30.38,4.000526086,7.500590832
145,887,B,1,H,1,6.1,0.061,30.281,4.004081453,7.511469213
145,887,B,1,H,1,6.16,0.062,30.205,4.006636153,7.520341925
145,887,B,1,H,1,6.22,0.062,30.26,4.002190187,7.517208969
145,887,B,1,H,1,6.27,0.063,30.329,3.999651372,7.517093842
145,887,B,1,H,1,6.33,0.063,30.242,4.004204183,7.528950494
145,887,B,1,H,1,6.39,0.064,30,4.014756327,7.549801477
145,887,B,1,H,1,6.45,0.064,29.796,4.022307804,7.565646791
145,887,B,1,H,1,6.51,0.065,29.61,4.028858615,7.579486437
145,887,B,1,H,1,6.56,0.066,29.442,4.035317114,7.594348478
145,887,B,1,H,1,6.62,0.066,29.269,4.044866703,7.614177732
145,887,B,1,H,1,6.68,0.067,29.08,4.055415624,7.634001316
145,887,B,1,H,1,6.74,0.067,28.945,4.067963878,7.653819233
145,887,B,1,H,1,6.8,0.068,28.804,4.081511466,7.67763148
145,887,B,1,H,1,6.86,0.069,28.636,4.094058387,7.702438059
145,887,B,1,H,1,6.91,0.069,28.516,4.104513645,7.722272545
145,887,B,1,H,1,6.97,0.07,28.397,4.114059344,7.744068732
145,887,B,1,H,1,7.03,0.07,28.312,4.121604376,7.76485925
145,887,B,1,H,1,7.09,0.071,28.279,4.12614874,7.7796441
145,887,B,1,H,1,7.15,0.071,28.16,4.132692439,7.80042328
145,887,B,1,H,1,7.2,0.072,28.112,4.136145011,7.813234934
145,887,B,1,H,1,7.26,0.073,28.096,4.136687487,7.823003723
145,887,B,1,H,1,7.32,0.073,28.149,4.133229296,7.826766843
145,887,B,1,H,1,7.38,0.074,28.219,4.127770438,7.826524294
145,887,B,1,H,1,7.44,0.074,28.35,4.119310913,7.820276077
145,887,B,1,H,1,7.49,0.075,28.549,4.1067608,7.807064899
145,887,B,1,H,1,7.55,0.076,28.667,4.097300053,7.79680629
145,887,B,1,H,1,7.61,0.076,28.703,4.087838639,7.786542012
145,887,B,1,H,1,7.67,0.077,28.687,4.084376558,7.784272065
145,887,B,1,H,1,7.73,0.077,28.605,4.08291381,7.78399645
145,887,B,1,H,1,7.78,0.078,28.451,4.083361011,7.78476244
145,887,B,1,H,1,7.84,0.078,28.364,4.080897041,7.781476433
145,887,B,1,H,1,7.9,0.079,28.242,4.082432405,7.783184756
145,887,B,1,H,1,7.96,0.08,28.168,4.085967101,7.786887412
145,887,B,1,H,1,8.02,0.08,27.986,4.093501131,7.797584398
145,887,B,1,H,1,8.08,0.081,27.835,4.100034494,7.807275716
145,887,B,1,H,1,8.13,0.081,27.773,4.105478453,7.815014151
145,887,B,1,H,1,8.19,0.082,27.607,4.112010594,7.830695077
145,887,B,1,H,1,8.25,0.082,27.376,4.120542067,7.849370334
145,887,B,1,H,1,8.31,0.083,27.268,4.125072874,7.864039922
145,887,B,1,H,1,8.37,0.084,27.245,4.125603014,7.873703842
145,887,B,1,H,1,8.42,0.084,27.233,4.126044288,7.883419445
145,887,B,1,H,1,8.48,0.085,27.392,4.118573206,7.881072973
145,887,B,1,H,1,8.54,0.085,27.691,4.096101456,7.887720832
145,887,B,1,H,1,8.6,0.086,28.031,4.08162904,7.885363022
145,887,B,1,H,1,8.66,0.087,28.234,4.071155958,7.877999544
145,887,B,1,H,1,8.71,0.087,28.347,4.071594546,7.873692315
145,887,B,1,H,1,8.77,0.088,28.371,4.070120241,7.871318445
145,887,B,1,H,1,8.83,0.088,28.446,4.050645269,7.851938905
145,887,B,1,H,1,8.89,0.089,28.515,4.04516963,7.843553698
145,887,B,1,H,1,8.95,0.089,28.216,4.077693324,7.854162821
145,887,B,1,H,1,9,0.09,27.993,4.116129227,7.830832761
145,887,B,1,H,1,9.06,0.091,27.61,4.161651699,7.818431492
145,887,B,1,H,1,9.12,0.091,27.035,4.211173504,7.817024555
145,887,B,1,H,1,9.18,0.092,26.622,4.249694642,7.816611949
145,887,B,1,H,1,9.24,0.092,26.27,4.273215114,7.816193674
145,887,B,1,H,1,9.3,0.093,25.855,4.292734918,7.817769731
145,887,B,1,H,1,9.35,0.094,25.597,4.33016758,7.832412115
145,887,B,1,H,1,9.41,0.094,25.14,4.377686162,7.86897778
145,887,B,1,H,1,9.47,0.095,24.747,4.415204077,7.900537776
145,887,B,1,H,1,9.53,0.095,24.529,4.443721326,7.916092103
145,887,B,1,H,1,9.59,0.096,24.14,4.466237908,7.959640762
145,887,B,1,H,1,9.64,0.096,23.778,4.483667883,8.003260314
145,887,B,1,H,1,9.7,0.097,23.585,4.489183243,8.047798581
145,887,B,1,H,1,9.76,0.098,23.638,4.479697936,8.079331179
145,887,B,1,H,1,9.82,0.098,23.897,4.456211961,8.106858108
145,887,B,1,H,1,9.88,0.099,24.191,4.426725321,8.138379369
145,887,B,1,H,1,9.93,0.099,24.415,4.39515261,8.149976089
145,887,B,1,H,1,9.99,0.1,24.606,4.369664747,8.166486958
145,887,B,1,H,1,10.05,0.101,24.746,4.342176217,8.179992157
145,887,B,1,H,1,10.11,0.101,24.869,4.30968702,8.187491689
145,887,B,1,H,1,10.17,0.102,25.081,4.272197156,8.193985551
145,887,B,1,H,1,10.22,0.102,25.397,4.23662176,8.18855944
145,887,B,1,H,1,10.28,0.103,25.599,4.235130674,8.19204291
145,887,B,1,H,1,10.34,0.103,25.807,4.242638921,8.165520712
145,887,B,1,H,1,10.4,0.104,26.163,4.224146501,8.126992845
145,887,B,1,H,1,10.46,0.105,26.309,4.207653415,8.127459309
145,887,B,1,H,1,10.52,0.105,26.368,4.199159661,8.142920105
145,887,B,1,H,1,10.57,0.106,26.652,4.179581024,8.145466438
145,887,B,1,H,1,10.63,0.106,27.056,4.155086048,8.133916842
145,887,B,1,H,1,10.69,0.107,27.515,4.146590406,8.127361577
145,887,B,1,H,1,10.75,0.107,27.86,4.155094096,8.134800643
145,887,B,1,H,1,10.81,0.108,27.689,4.18059712,8.155234041
145,887,B,1,H,1,10.86,0.109,27.62,4.200015797,8.155757542
145,887,B,1,H,1,10.92,0.109,27.706,4.213517598,8.161180548
145,887,B,1,H,1,10.98,0.11,27.275,4.236018733,8.216597884
145,887,B,1,H,1,11.04,0.11,26.876,4.264519201,8.261009553
145,887,B,1,H,1,11.1,0.111,26.68,4.282019002,8.289415552
145,887,B,1,H,1,11.15,0.112,26.578,4.286434993,8.302916222
145,887,B,1,H,1,11.21,0.112,26.329,4.304933572,8.289311829
145,887,B,1,H,1,11.27,0.113,25.886,4.324431483,8.302701768
145,887,B,1,H,1,11.33,0.113,25.385,4.335928728,8.333086038
145,887,B,1,H,1,11.39,0.114,24.987,4.335425306,8.38146464
145,887,B,1,H,1,11.44,0.114,24.72,4.332838612,8.406942477
145,887,B,1,H,1,11.5,0.115,24.42,4.331333968,8.430310687
145,887,B,1,H,1,11.56,0.116,24.148,4.337828657,8.466673227
145,887,B,1,H,1,11.62,0.116,23.709,4.335322679,8.484030099
145,887,B,1,H,1,11.68,0.117,23.254,4.332816034,8.490381303
145,887,B,1,H,1,11.74,0.117,22.919,4.322308722,8.493726837
145,887,B,1,H,1,11.79,0.118,22.365,4.305718787,8.51717712
145,887,B,1,H,1,11.85,0.119,22.098,4.292210253,8.515512262
145,887,B,1,H,1,11.91,0.119,21.94,4.279701052,8.506841736
145,887,B,1,H,1,11.97,0.12,21.978,4.260191185,8.481165541
145,887,B,1,H,1,12.03,0.12,22.158,4.24368065,8.455483678
145,887,B,1,H,1,12.08,0.121,22.272,4.236088029,8.440911128
145,887,B,1,H,1,12.14,0.121,22.18,4.241576272,8.432218873
145,887,B,1,H,1,12.2,0.122,21.888,4.275063849,8.447520949
145,887,B,1,H,1,12.26,0.123,22.095,4.281550758,8.447817356
145,887,B,1,H,1,12.32,0.123,22.349,4.277037001,8.457108094
145,887,B,1,H,1,12.37,0.124,22.319,4.301441694,8.469512713
145,887,B,1,H,1,12.43,0.124,22.51,4.323926714,8.469793059
145,887,B,1,H,1,12.49,0.125,22.696,4.350411068,8.454067737
145,887,B,1,H,1,12.55,0.125,22.956,4.369894755,8.427336746
145,887,B,1,H,1,12.61,0.126,23.088,4.402377775,8.412600086
145,887,B,1,H,1,12.66,0.127,23.159,4.419779782,8.436981873
145,887,B,1,H,1,12.72,0.127,23.338,4.43626158,8.474234822
145,887,B,1,H,1,12.78,0.128,23.731,4.44074271,8.470482101
145,887,B,1,H,1,12.84,0.128,24.072,4.443223174,8.452723712
145,887,B,1,H,1,12.9,0.129,24.169,4.461702971,8.442959654
145,887,B,1,H,1,12.96,0.13,24.49,4.468182102,8.440189928
145,887,B,1,H,1,13.01,0.13,24.632,4.457580868,8.406544159
145,887,B,1,H,1,13.07,0.131,24.471,4.456058776,8.380764041
145,887,B,1,H,1,13.13,0.131,24.438,4.447536017,8.357978254
145,887,B,1,H,1,13.19,0.132,24.426,4.426012591,8.342186798
145,887,B,1,H,1,13.25,0.132,24.669,4.409488499,8.308389674
145,887,B,1,H,1,13.3,0.133,24.818,4.387884579,8.298721073
145,887,B,1,H,1,13.36,0.134,24.991,4.363359264,8.310913556
145,887,B,1,H,1,13.42,0.134,25.454,4.341833282,8.282100371
145,887,B,1,H,1,13.48,0.135,25.848,4.311306634,8.240281517
145,887,B,1,H,1,13.54,0.135,25.947,4.316779319,8.212456995
145,887,B,1,H,1,13.59,0.136,25.999,4.294172713,8.156765563
145,887,B,1,H,1,13.65,0.137,26.491,4.206644175,8.137930648
145,887,B,1,H,1,13.71,0.137,26.552,4.179114971,8.125090064
145,887,B,1,H,1,13.77,0.138,26.554,4.1935851,8.083243812
145,887,B,1,H,1,13.83,0.138,26.649,4.228054561,8.010391892
145,887,B,1,H,1,13.88,0.139,26.578,4.30744527,7.933677628
145,887,B,1,H,1,13.94,0.139,26.578,4.39391351,7.860815315
145,887,B,1,H,1,14,0.14,26.61,4.487381082,7.756947333
145,887,B,1,H,1,14.06,0.141,26.781,4.608847988,7.656073683
145,887,B,1,H,1,14.12,0.141,26.786,4.821314227,7.572194365
145,887,B,1,H,1,14.18,0.142,26.779,4.981779799,7.469309377
145,887,B,1,H,1,14.23,0.142,26.646,5.125167267,7.370567558
145,887,B,1,H,1,14.29,0.143,26.603,5.259631617,7.285672178
145,887,B,1,H,1,14.35,0.143,26.625,5.3810953,7.20177113
145,887,B,1,H,1,14.41,0.144,26.026,5.481558316,7.138864413
145,887,B,1,H,1,14.47,0.145,25.332,5.570020665,7.116952028
145,887,B,1,H,1,14.52,0.145,24.985,5.615405447,7.111187376
145,887,B,1,H,1,14.58,0.146,24.745,5.640866574,7.051264599
145,887,B,1,H,1,14.64,0.146,24.685,5.627327034,7.031336152
145,887,B,1,H,1,14.7,0.147,24.639,5.579786828,7.080402037
145,887,B,1,H,1,14.76,0.148,24.658,5.505245954,7.093462254
145,887,B,1,H,1,14.81,0.148,24.569,5.411628051,7.049674771
145,887,B,1,H,1,14.87,0.149,24.304,5.283085955,7.098724595
145,887,B,1,H,1,14.93,0.149,24.227,5.125543192,7.17976875
145,887,B,1,H,1,14.99,0.15,24.435,4.912999763,7.259807237
145,887,B,1,H,1,15.05,0.15,24.553,4.727455666,7.411840056
145,887,B,1,H,1,15.1,0.151,24.312,4.598835077,7.490029741
145,887,B,1,H,1,15.16,0.152,24.089,4.480289758,7.512052167
145,887,B,1,H,1,15.22,0.152,24.023,4.385743773,7.528068924
145,887,B,1,H,1,15.28,0.153,24.026,4.29519712,7.547080013
145,887,B,1,H,1,15.34,0.153,24.072,4.227649801,7.548085433
145,887,B,1,H,1,15.4,0.154,24.215,4.188101815,7.528085185
145,887,B,1,H,1,15.45,0.155,24.187,4.198477984,7.527247315
145,887,B,1,H,1,15.51,0.155,24.101,4.229928776,7.534236674
145,887,B,1,H,1,15.57,0.156,24.245,4.188378901,7.506220365
145,887,B,1,H,1,15.63,0.156,24.353,4.180828359,7.463198387
145,887,B,1,H,1,15.69,0.157,24.461,4.19027715,7.41617074
