Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,C,1,H,1,1.45,0.014,3.078,-0.064013419,4.983789257
145,887,C,1,H,1,1.5,0.015,1.14,-0.526034251,4.048613661
145,887,C,1,H,1,2.02,0.02,0.706,-0.318608573,4.744417965
145,887,C,1,H,1,2.08,0.021,2.06,0.019176283,5.476014351
145,887,C,1,H,1,2.14,0.021,3.597,0.384962167,6.265611477
145,887,C,1,H,1,2.2,0.022,5.255,0.72374908,7.028209344
145,887,C,1,H,1,2.25,0.023,7.088,1.081738959,7.793041466
145,887,C,1,H,1,2.31,0.023,9.053,1.443527757,8.556640691
145,887,C,1,H,1,2.37,0.024,11.103,1.803317584,9.303240658
145,887,C,1,H,1,2.43,0.024,13.168,2.155108438,10.02284137
145,887,C,1,H,1,2.49,0.025,15.224,2.482900321,10.69344281
145,887,C,1,H,1,2.54,0.025,17.09,2.787894342,11.33127792
145,887,C,1,H,1,2.6,0.026,18.768,3.06068811,11.94988073
145,887,C,1,H,1,2.66,0.027,20.34,3.288482907,12.45548427
145,887,C,1,H,1,2.72,0.027,21.74,3.472278731,12.86508856
145,887,C,1,H,1,2.77,0.028,22.929,3.610276037,13.14492603
145,887,C,1,H,1,2.83,0.028,23.877,3.683073747,13.30853168
145,887,C,1,H,1,2.89,0.029,24.538,3.712872486,13.38113807
145,887,C,1,H,1,2.95,0.029,24.923,3.683672252,13.3267452
145,887,C,1,H,1,3.01,0.03,25.062,3.582473047,13.18035307
145,887,C,1,H,1,3.12,0.031,25.039,3.340277175,12.98080275
145,887,C,1,H,1,3.06,0.031,25.053,3.352474495,13.00319352
145,887,C,1,H,1,3.18,0.032,25.263,3.348080883,12.98841272
145,887,C,1,H,1,3.24,0.032,25.507,3.36488562,13.00102343
145,887,C,1,H,1,3.29,0.033,25.771,3.405890353,13.02286625
145,887,C,1,H,1,3.35,0.034,26.124,3.453696975,13.02647832
145,887,C,1,H,1,3.41,0.034,26.512,3.514504625,13.02909113
145,887,C,1,H,1,3.47,0.035,26.748,3.597313304,13.03470468
145,887,C,1,H,1,3.53,0.035,26.834,3.68312301,12.94031897
145,887,C,1,H,1,3.58,0.036,27.028,3.793131885,12.88016477
145,887,C,1,H,1,3.64,0.036,27.137,3.905943477,12.85078042
145,887,C,1,H,1,3.7,0.037,27.183,4.027756098,12.85239681
145,887,C,1,H,1,3.82,0.038,26.867,4.268384423,12.94163181
145,887,C,1,H,1,3.76,0.038,27.049,4.148569746,12.88101394
145,887,C,1,H,1,3.93,0.039,26.197,4.488214002,13.14809984
145,887,C,1,H,1,3.87,0.039,26.617,4.37939744,13.00848061
145,887,C,1,H,1,4.05,0.04,25.65,4.662850211,13.46434052
145,887,C,1,H,1,3.99,0.04,25.841,4.585031592,13.30871981
145,887,C,1,H,1,4.1,0.041,25.495,4.727866513,13.63719168
