Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
145,887,A,1,H,1,1.5,1.5,0,IW 145-150.
145,887,A,1,H,2,1.5,1.5,1.5,
145,887,A,1,H,3,1.5,1.5,3,
145,887,A,1,H,4,1.5,1.5,4.5,
145,887,A,1,H,5,0.41,0.44,6,(DB)CHANGE CL=41 TO 44 CM
145,887,A,1,H,CC(5),0.24,0.24,6.44,2 CM TO PAL.
145,887,A,2,H,1,1.5,1.5,6.7,
145,887,A,2,H,2,1.5,1.5,8.2,IW 145-150.
145,887,A,2,H,3,1.5,1.5,9.7,
145,887,A,2,H,4,1.5,1.5,11.2,
145,887,A,2,H,5,1.5,1.5,12.7,
145,887,A,2,H,6,1.5,1.5,14.2,
145,887,A,2,H,7,0.58,0.58,15.7,
145,887,A,2,H,CC(7),0.14,0.14,16.28,2 CM TO PALEO.
145,887,A,3,H,1,1.5,1.5,16.2,
145,887,A,3,H,2,1.5,1.5,17.7,IW 145-150.
145,887,A,3,H,3,1.5,1.5,19.2,
145,887,A,3,H,4,1.5,1.5,20.7,
145,887,A,3,H,5,1.5,1.5,22.2,
145,887,A,3,H,6,1.5,1.5,23.7,
145,887,A,3,H,7,0.83,0.83,25.2,
145,887,A,3,H,CC(7),0.19,0.19,26.03,2 CM TO PALEO.
145,887,A,4,H,1,1.5,1.5,25.7,
145,887,A,4,H,2,1.5,1.5,27.2,IW 145-150
145,887,A,4,H,3,1.5,1.5,28.7,
145,887,A,4,H,4,1.5,1.5,30.2,
145,887,A,4,H,5,1.5,1.5,31.7,
145,887,A,4,H,6,1.5,1.5,33.2,
145,887,A,4,H,7,0.48,0.48,34.7,
145,887,A,4,H,CC(7),0.3,0.3,35.18,3 CM TO PALEO
145,887,A,5,H,1,1.5,1.5,35.2,
145,887,A,5,H,2,1.5,1.5,36.7,IW 145-150
145,887,A,5,H,3,1.5,1.5,38.2,
145,887,A,5,H,4,1.5,1.5,39.7,
145,887,A,5,H,5,1.5,1.5,41.2,
145,887,A,5,H,6,1.5,1.5,42.7,
145,887,A,5,H,7,0.85,0.87,44.2,(RP) CHANGED CL FROM 85CM TO 87CM
145,887,A,5,H,CC(7),0.16,0.16,45.07,3 CM TO PALEO
145,887,A,6,H,1,1.5,1.5,44.7,
145,887,A,6,H,2,1.5,1.5,46.2,IW 145-150
145,887,A,6,H,3,1.5,1.5,47.7,
145,887,A,6,H,4,1.5,1.5,49.2,
145,887,A,6,H,5,1.5,1.5,50.7,
145,887,A,6,H,6,1.5,1.5,52.2,
145,887,A,6,H,7,0.77,0.77,53.7,
145,887,A,6,H,CC(7),0.3,0.3,54.47,3 CM TO PALEO
145,887,A,7,H,1,1.5,1.5,54.2,
145,887,A,7,H,2,1.5,1.5,55.7,
145,887,A,7,H,3,1.5,1.5,57.2,
145,887,A,7,H,4,1.5,1.5,58.7,
145,887,A,7,H,5,1.5,1.5,60.2,
145,887,A,7,H,6,1.5,1.5,61.7,
145,887,A,7,H,7,0.74,0.74,63.2,
145,887,A,7,H,CC(7),0.22,0.22,63.94,3 CM TO PALEO
145,887,A,8,H,1,1.5,1.5,63.7,
145,887,A,8,H,2,1.5,1.5,65.2,IW 145-150
145,887,A,8,H,3,1.5,1.5,66.7,
145,887,A,8,H,4,1.5,1.5,68.2,
145,887,A,8,H,5,1.5,1.5,69.7,
145,887,A,8,H,6,1.5,1.5,71.2,
145,887,A,8,H,7,0.7,0.7,72.7,
145,887,A,8,H,CC(7),0.22,0.22,73.4,2 CM TO PALEO
145,887,A,9,H,1,1.5,1.5,73.2,
145,887,A,9,H,2,1.5,1.5,74.7,
145,887,A,9,H,3,1.5,1.5,76.2,
145,887,A,9,H,4,1.5,1.5,77.7,
145,887,A,9,H,5,1.5,1.5,79.2,
145,887,A,9,H,6,0.47,0.47,80.7,
145,887,A,9,H,CC(6),0.18,0.18,81.17,3 CM TO PALEO
145,887,A,10,H,1,1.5,1.5,82.7,
145,887,A,10,H,2,1.5,1.5,84.2,IW 145-150
145,887,A,10,H,3,1.5,1.5,85.7,
145,887,A,10,H,4,1.5,1.5,87.2,
145,887,A,10,H,5,1.5,1.5,88.7,
145,887,A,10,H,6,1.5,1.5,90.2,
145,887,A,10,H,7,0.72,0.72,91.7,
145,887,A,10,H,CC(7),0.18,0.18,92.42,3 CM TO PALEO
145,887,A,11,H,1,1.5,1.5,92.2,
145,887,A,11,H,2,1.5,1.5,93.7,
145,887,A,11,H,3,1.5,1.5,95.2,
145,887,A,11,H,4,1.5,1.5,96.7,
145,887,A,11,H,5,1.5,1.5,98.2,
145,887,A,11,H,6,1.5,1.5,99.7,
145,887,A,11,H,7,0.8,0.8,101.2,
145,887,A,11,H,CC(7),0.28,0.28,102,3 CM TO PALEO
145,887,A,12,H,1,1.5,1.5,101.7,
145,887,A,12,H,2,1.5,1.5,103.2,
145,887,A,12,H,3,1.5,1.5,104.7,
145,887,A,12,H,4,1.5,1.5,106.2,IW FROM 145-150
145,887,A,12,H,5,1.5,1.5,107.7,
145,887,A,12,H,6,1.5,1.5,109.2,
145,887,A,12,H,7,0.68,0.68,110.7,
145,887,A,12,H,CC(7),0.31,0.31,111.38,3 CM TO PAL
145,887,A,13,H,1,1.5,1.5,111.2,
145,887,A,13,H,2,1.5,1.5,112.7,
145,887,A,13,H,3,1.5,1.5,114.2,
145,887,A,13,H,4,1.5,1.5,115.7,
145,887,A,13,H,5,1.5,1.5,117.2,
145,887,A,13,H,6,1.5,1.5,118.7,
145,887,A,13,H,7,0.8,0.8,120.2,
145,887,A,13,H,CC(7),0.26,0.26,121,3 CM TO PAL
145,887,A,14,H,1,1.5,1.5,120.7,
145,887,A,14,H,2,1.5,1.5,122.2,
145,887,A,14,H,3,1.5,1.5,123.7,
145,887,A,14,H,4,1.5,1.5,125.2,IW 145-150
145,887,A,14,H,5,1.5,1.5,126.7,
145,887,A,14,H,6,1.5,1.5,128.2,
145,887,A,14,H,7,0.56,0.56,129.7,
145,887,A,14,H,CC(7),0.21,0.21,130.26,3 CM TO PAL
145,887,A,15,X,1,1.5,1.5,130.2,(DB)VOID 146-150 CM
145,887,A,15,X,2,1.5,1.5,131.7,
145,887,A,15,X,3,1.5,1.5,133.2,
145,887,A,15,X,4,1.5,1.5,134.7,
145,887,A,15,X,5,1.5,1.5,136.2,
145,887,A,15,X,6,0.62,0.62,137.7,
145,887,A,15,X,CC(7),0.15,0.15,138.32,2 CM TO PAL
145,887,A,16,X,1,1.5,1.5,139.7,
145,887,A,16,X,2,1.5,1.5,141.2,IW 145-150
145,887,A,16,X,3,1.5,1.5,142.7,
145,887,A,16,X,   CC,0.17,0.17,144.2,3 CM TO PAL
145,887,A,17,X,1,1.5,1.5,145.1,
145,887,A,17,X,2,1.5,1.5,146.6,
145,887,A,17,X,3,1.5,1.5,148.1,
145,887,A,17,X,4,1.5,1.5,149.6,
145,887,A,17,X,5,1.27,1.22,151.1,(DB)CHANGE CL=127 TO 122 CM
145,887,A,17,X,CC(5),0.15,0.15,152.32,3 CM TO PALEO.
145,887,A,18,X,1,1.5,1.5,154.8,
145,887,A,18,X,2,1.5,1.5,156.3,
145,887,A,18,X,3,1.5,1.5,157.8,
145,887,A,18,X,4,1.5,1.5,159.3,
145,887,A,18,X,5,1.5,1.5,160.8,(DB)VOID 70-78 CM
